school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade,G1,G2
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9,10,9
GP,F,yes,no,1.0,2.0,2.0,1.0,,5.0,14.0,8,6,9
GP,M,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12,12,12
GP,M,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15,15,16
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11,11,11
GP,M,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,11,10,12
GP,M,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,11,9,11
GP,M,no,yes,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17,17,16
GP,M,no,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,16,17,16
GP,M,no,yes,5.0,3.0,2.0,1.0,1.0,2.0,0.0,10,8,10
GP,M,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,14,12,14
GP,F,no,yes,3.0,5.0,1.0,1.0,1.0,5.0,0.0,7,8,7
GP,M,no,yes,5.0,4.0,3.0,1.0,1.0,4.0,2.0,16,15,16
GP,M,no,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15,15,16
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12,12,12
GP,F,yes,yes,4.0,3.0,1.0,1.0,1.0,,8.0,13,14,13
GP,F,no,yes,3.0,3.0,,1.0,2.0,3.0,25.0,9,7,10
GP,M,no,no,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12,12,12
GP,M,no,yes,4.0,3.0,3.0,1.0,1.0,5.0,2.0,18,19,18
GP,M,no,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,9,8,8
GP,F,no,yes,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10,10,10
GP,F,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,7,8,8
GP,F,no,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11,11,12
GP,M,no,yes,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19,19,19
GP,M,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15,15,15
GP,F,no,yes,4.0,4.0,4.0,1.0,1.0,,2.0,7,7,7
GP,F,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,13,12,13
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,12,11,13
GP,M,no,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11,11,11
GP,F,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,10,8,10
GP,F,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,12,10,13
GP,F,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,9,8,9
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,1.0,0.0,15,14,15
GP,M,no,yes,3.0,2.0,2.0,1.0,1.0,5.0,4.0,15,14,15
GP,M,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9,9,10
GP,F,no,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16,15,16
GP,F,no,yes,2.0,4.0,4.0,2.0,3.0,4.0,6.0,11,10,11
GP,F,no,yes,5.0,5.0,5.0,,5.0,5.0,6.0,10,10,8
GP,F,no,yes,4.0,4.0,3.0,1.0,1.0,1.0,4.0,9,8,10
GP,F,yes,yes,3.0,4.0,4.0,2.0,4.0,4.0,2.0,9,10,9
GP,F,no,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10,10,10
GP,F,no,yes,5.0,4.0,3.0,1.0,2.0,1.0,2.0,15,16,15
GP,M,no,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13,13,13
GP,F,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7,7,7
GP,F,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8,8,9
GP,F,no,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16,16,16
GP,M,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,14,13,15
GP,M,no,no,3.0,3.0,3.0,,1.0,3.0,0.0,10,10,10
GP,F,no,no,3.0,3.0,4.0,2.0,4.0,5.0,2.0,6,8,6
GP,M,no,yes,5.0,3.0,2.0,2.0,2.0,5.0,2.0,13,12,12
GP,F,yes,yes,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11,11,12
GP,M,yes,yes,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9,9,9
GP,M,no,yes,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11,11,11
GP,F,yes,no,5.0,2.0,3.0,1.0,3.0,3.0,0.0,11,11,11
GP,M,no,yes,4.0,5.0,1.0,1.0,1.0,3.0,2.0,9,8,8
GP,F,no,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,5,5,5
GP,M,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,11,10,12
GP,M,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11,11,10
GP,F,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,,6,7,6
GP,M,yes,yes,5.0,3.0,3.0,1.0,3.0,4.0,4.0,15,15,15
GP,F,no,yes,4.0,3.0,2.0,2.0,3.0,4.0,2.0,10,9,10
GP,F,yes,no,4.0,4.0,4.0,2.0,3.0,5.0,6.0,8,7,9
GP,F,no,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,7,8,7
GP,F,no,yes,5.0,3.0,3.0,1.0,3.0,1.0,4.0,14,13,14
GP,M,yes,yes,4.0,4.0,2.0,1.0,1.0,3.0,12.0,10,11,10
GP,M,no,no,4.0,1.0,3.0,,5.0,5.0,18.0,7,8,6
GP,F,yes,no,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7,7,7
GP,F,yes,yes,4.0,5.0,5.0,1.0,3.0,1.0,4.0,17,16,17
GP,F,no,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,6,7,6
GP,F,yes,yes,5.0,3.0,3.0,1.0,1.0,1.0,0.0,10,11,10
GP,M,no,yes,4.0,3.0,4.0,1.0,1.0,4.0,6.0,13,11,13
GP,F,yes,yes,3.0,1.0,2.0,1.0,1.0,1.0,2.0,9,7,10
GP,M,no,yes,3.0,3.0,3.0,1.0,1.0,4.0,2.0,14,11,15
GP,F,yes,no,4.0,3.0,5.0,1.0,1.0,5.0,2.0,9,8,9
GP,F,no,yes,5.0,3.0,4.0,1.0,2.0,,6.0,13,11,14
GP,F,yes,no,5.0,3.0,5.0,1.0,1.0,3.0,0.0,8,7,9
GP,M,yes,yes,4.0,5.0,5.0,5.0,5.0,4.0,14.0,6,7,7
GP,M,no,yes,4.0,4.0,3.0,1.0,1.0,4.0,0.0,17,16,17
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,4.0,12,10,13
GP,F,yes,no,4.0,3.0,5.0,1.0,1.0,2.0,26.0,6,7,6
GP,M,yes,yes,5.0,4.0,4.0,1.0,1.0,1.0,0.0,17,16,18
GP,F,no,no,4.0,3.0,3.0,1.0,1.0,4.0,10.0,11,10,11
GP,F,yes,no,5.0,1.0,2.0,1.0,1.0,3.0,8.0,8,7,8
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,2.0,17,16,18
GP,M,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,6.0,12,10,13
GP,F,yes,yes,5.0,4.0,5.0,1.0,1.0,4.0,4.0,15,14,15
GP,M,no,yes,5.0,5.0,3.0,1.0,1.0,4.0,6.0,19,18,19
GP,F,no,yes,4.0,,2.0,,1.0,2.0,0.0,9,7,10
GP,F,no,yes,3.0,1.0,2.0,1.0,1.0,5.0,6.0,12,10,13
GP,M,no,no,3.0,5.0,2.0,1.0,1.0,3.0,10.0,19,18,19
GP,M,no,yes,5.0,4.0,2.0,1.0,1.0,5.0,8.0,9,9,9
GP,M,no,yes,5.0,4.0,4.0,1.0,2.0,5.0,2.0,15,15,15
GP,M,no,yes,4.0,4.0,3.0,1.0,1.0,2.0,2.0,13,11,13
GP,M,no,yes,5.0,4.0,2.0,1.0,1.0,5.0,0.0,13,13,14
GP,M,no,yes,5.0,2.0,4.0,1.0,4.0,5.0,20.0,8,9,7
GP,M,no,no,3.0,4.0,3.0,1.0,2.0,4.0,6.0,13,14,13
GP,F,no,no,3.0,2.0,3.0,1.0,2.0,1.0,2.0,15,16,15
GP,M,yes,yes,5.0,5.0,4.0,1.0,2.0,5.0,6.0,15,16,14
GP,F,yes,yes,4.0,2.0,2.0,1.0,2.0,5.0,2.0,13,13,13
GP,M,no,yes,3.0,4.0,4.0,1.0,,5.0,18.0,13,14,11
GP,F,yes,no,5.0,,4.0,1.0,1.0,5.0,0.0,8,8,7
GP,M,no,no,5.0,5.0,5.0,3.0,2.0,5.0,0.0,13,13,13
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,1.0,0.0,9,7,10
GP,F,no,no,3.0,4.0,2.0,1.0,1.0,5.0,2.0,8,7,8
GP,M,no,yes,3.0,3.0,3.0,1.0,2.0,4.0,0.0,4,7,4
GP,M,yes,yes,3.0,5.0,5.0,2.0,5.0,4.0,8.0,18,18,18
GP,F,no,no,4.0,2.0,2.0,2.0,2.0,5.0,0.0,4,12,0
GP,F,no,yes,4.0,3.0,3.0,1.0,2.0,4.0,0.0,3,8,0
GP,F,no,no,3.0,4.0,4.0,1.0,3.0,5.0,12.0,12,10,13
GP,F,no,no,3.0,2.0,1.0,1.0,4.0,5.0,16.0,11,12,11
GP,M,no,no,5.0,3.0,3.0,1.0,1.0,5.0,0.0,3,9,0
GP,F,no,yes,4.0,3.0,3.0,1.0,1.0,5.0,0.0,4,11,0
GP,M,no,no,5.0,4.0,5.0,2.0,4.0,5.0,0.0,3,10,0
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,1,4,0
GP,M,no,no,4.0,4.0,4.0,1.0,3.0,5.0,0.0,13,14,12
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,16,16,16
GP,M,no,no,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5,7,9
GP,M,no,yes,2.0,3.0,3.0,2.0,2.0,2.0,8.0,9,9,9
GP,F,yes,yes,4.0,2.0,2.0,1.0,1.0,,2.0,10,9,11
GP,F,no,no,3.0,4.0,4.0,3.0,3.0,1.0,2.0,14,14,14
GP,M,no,no,5.0,4.0,5.0,1.0,2.0,5.0,0.0,2,5,0
GP,F,yes,no,4.0,4.0,2.0,1.0,2.0,5.0,0.0,10,8,11
GP,F,no,no,3.0,3.0,2.0,1.0,1.0,3.0,0.0,4,6,7
GP,F,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11,10,11
GP,M,no,no,3.0,3.0,2.0,2.0,1.0,5.0,0.0,4,7,6
GP,M,no,no,4.0,5.0,5.0,2.0,5.0,5.0,0.0,9,8,9
GP,M,no,no,2.0,3.0,5.0,2.0,5.0,4.0,0.0,4,6,5
GP,M,no,yes,4.0,4.0,4.0,3.0,5.0,5.0,6.0,13,12,13
GP,F,yes,yes,4.0,2.0,1.0,2.0,3.0,3.0,8.0,10,10,10
GP,M,no,no,4.0,5.0,4.0,1.0,1.0,4.0,0.0,2,5,0
GP,F,no,no,4.0,2.0,1.0,1.0,1.0,4.0,0.0,11,11,11
GP,M,yes,yes,4.0,4.0,4.0,1.0,1.0,1.0,2.0,9,11,8
GP,M,no,no,2.0,2.0,2.0,3.0,3.0,5.0,8.0,14,16,12
GP,F,no,yes,5.0,2.0,5.0,1.0,5.0,4.0,6.0,9,9,8
GP,M,no,no,4.0,2.0,2.0,1.0,2.0,3.0,2.0,16,17,15
GP,M,yes,no,4.0,5.0,5.0,4.0,4.0,5.0,4.0,11,10,12
GP,M,no,yes,3.0,3.0,2.0,2.0,2.0,5.0,0.0,4,7,6
GP,M,no,no,4.0,4.0,4.0,1.0,4.0,3.0,6.0,7,5,9
GP,M,no,yes,4.0,4.0,4.0,2.0,4.0,5.0,0.0,2,7,0
GP,M,no,no,5.0,3.0,3.0,1.0,4.0,2.0,2.0,10,10,10
GP,M,no,yes,5.0,3.0,5.0,1.0,5.0,5.0,0.0,7,5,8
GP,M,no,yes,4.0,5.0,2.0,1.0,1.0,2.0,16.0,12,12,11
GP,M,no,no,4.0,3.0,5.0,2.0,4.0,4.0,4.0,10,10,10
GP,F,yes,no,4.0,2.0,3.0,1.0,1.0,3.0,0.0,15,14,15
GP,F,yes,no,5.0,1.0,5.0,1.0,1.0,4.0,0.0,4,6,7
GP,F,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,0.0,14,14,14
GP,M,no,yes,3.0,4.0,5.0,2.0,4.0,2.0,0.0,4,6,5
GP,M,yes,yes,4.0,3.0,2.0,1.0,1.0,3.0,2.0,15,13,15
GP,M,yes,yes,4.0,4.0,4.0,1.0,3.0,5.0,0.0,11,13,11
GP,F,no,yes,4.0,3.0,5.0,1.0,1.0,3.0,0.0,5,8,7
GP,F,yes,yes,4.0,4.0,5.0,1.0,1.0,4.0,4.0,10,10,11
GP,M,yes,yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9,10,9
GP,F,yes,yes,3.0,4.0,4.0,1.0,4.0,5.0,2.0,12,13,13
GP,M,no,yes,4.0,3.0,4.0,1.0,4.0,4.0,4.0,6,6,5
GP,M,no,yes,4.0,3.0,3.0,3.0,4.0,3.0,10.0,9,10,8
GP,M,no,yes,5.0,2.0,3.0,1.0,1.0,2.0,4.0,10,10,10
GP,M,yes,yes,3.0,4.0,3.0,2.0,3.0,3.0,10.0,8,9,8
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,3.0,2.0,12,12,13
GP,F,no,yes,5.0,4.0,2.0,2.0,3.0,5.0,0.0,17,16,17
GP,F,no,yes,5.0,3.0,3.0,2.0,3.0,1.0,56.0,9,9,9
GP,F,yes,no,1.0,2.0,2.0,1.0,2.0,1.0,14.0,12,12,13
GP,M,no,yes,4.0,3.0,4.0,2.0,3.0,4.0,12.0,12,12,12
GP,M,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,2.0,11,11,12
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,5.0,0.0,15,15,15
GP,F,no,no,3.0,3.0,3.0,1.0,3.0,3.0,6.0,8,8,7
GP,M,no,no,3.0,1.0,3.0,1.0,5.0,3.0,4.0,9,8,9
GP,F,no,no,4.0,3.0,3.0,1.0,1.0,2.0,10.0,12,11,12
GP,F,no,yes,5.0,3.0,3.0,1.0,1.0,3.0,0.0,8,8,8
GP,M,yes,yes,4.0,4.0,4.0,4.0,5.0,5.0,12.0,8,7,8
GP,M,no,yes,4.0,3.0,2.0,3.0,4.0,5.0,8.0,9,8,9
GP,M,no,no,5.0,3.0,3.0,1.0,1.0,3.0,0.0,14,13,14
GP,F,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,15,14,15
GP,M,no,no,5.0,2.0,3.0,1.0,2.0,5.0,4.0,16,17,15
GP,M,yes,yes,3.0,3.0,4.0,3.0,5.0,3.0,8.0,9,9,9
GP,F,no,no,4.0,2.0,4.0,2.0,3.0,2.0,24.0,18,18,18
GP,F,yes,no,4.0,5.0,2.0,1.0,2.0,3.0,0.0,9,9,9
GP,F,no,yes,4.0,3.0,5.0,1.0,5.0,2.0,2.0,16,16,16
GP,F,yes,yes,4.0,4.0,,1.0,3.0,4.0,6.0,9,8,10
GP,F,yes,no,4.0,4.0,4.0,1.0,3.0,1.0,4.0,9,9,9
GP,F,no,no,5.0,3.0,2.0,1.0,2.0,3.0,18.0,6,7,6
GP,F,yes,yes,5.0,3.0,5.0,1.0,1.0,5.0,6.0,10,10,10
GP,F,yes,no,4.0,4.0,3.0,3.0,4.0,5.0,28.0,9,10,9
GP,F,yes,no,2.0,3.0,3.0,2.0,2.0,4.0,5.0,7,7,7
GP,F,yes,yes,1.0,3.0,2.0,1.0,1.0,1.0,10.0,12,11,12
GP,F,yes,no,4.0,3.0,2.0,1.0,4.0,5.0,6.0,9,9,9
GP,F,yes,yes,4.0,4.0,2.0,1.0,1.0,4.0,6.0,7,7,7
GP,F,yes,yes,4.0,3.0,3.0,1.0,2.0,3.0,10.0,8,8,8
GP,M,yes,no,5.0,3.0,5.0,4.0,5.0,3.0,13.0,12,12,12
GP,F,yes,no,3.0,3.0,4.0,1.0,1.0,4.0,0.0,13,12,13
GP,M,yes,yes,4.0,4.0,4.0,2.0,4.0,5.0,15.0,7,6,7
GP,F,yes,no,5.0,2.0,1.0,1.0,2.0,3.0,12.0,9,8,10
GP,F,yes,no,4.0,4.0,4.0,1.0,3.0,1.0,2.0,15,14,15
GP,F,yes,no,3.0,4.0,5.0,2.0,4.0,1.0,22.0,5,6,6
GP,M,yes,no,3.0,2.0,4.0,2.0,4.0,4.0,13.0,7,6,6
GP,F,yes,no,3.0,3.0,3.0,1.0,4.0,3.0,3.0,7,7,7
GP,F,yes,yes,4.0,3.0,3.0,1.0,1.0,4.0,4.0,10,9,10
GP,F,no,yes,4.0,2.0,5.0,1.0,2.0,5.0,2.0,6,6,6
GP,F,no,yes,4.0,3.0,4.0,1.0,1.0,5.0,0.0,4,6,5
GP,F,no,no,2.0,3.0,1.0,1.0,1.0,3.0,2.0,16,16,16
GP,M,yes,no,3.0,3.0,3.0,5.0,5.0,4.0,0.0,13,12,13
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,5.0,0.0,13,13,13
GP,F,no,yes,5.0,3.0,3.0,1.0,1.0,4.0,,8,9,8
GP,F,no,yes,5.0,3.0,4.0,1.0,3.0,3.0,10.0,15,16,15
GP,M,yes,no,5.0,3.0,3.0,1.0,3.0,3.0,2.0,12,12,11
GP,M,yes,yes,4.0,3.0,2.0,4.0,5.0,3.0,14.0,9,10,8
GP,F,no,yes,3.0,2.0,3.0,1.0,2.0,3.0,10.0,11,12,10
GP,F,no,yes,3.0,2.0,3.0,1.0,2.0,3.0,14.0,13,13,13
GP,M,yes,yes,4.0,5.0,2.0,1.0,1.0,1.0,4.0,11,11,11
GP,M,no,yes,4.0,5.0,5.0,1.0,3.0,2.0,14.0,10,11,9
GP,M,yes,yes,4.0,2.0,4.0,2.0,4.0,1.0,2.0,13,14,13
GP,M,yes,no,3.0,4.0,2.0,1.0,1.0,5.0,18.0,7,9,7
GP,M,no,yes,5.0,3.0,3.0,1.0,3.0,2.0,10.0,10,11,9
GP,M,yes,yes,4.0,4.0,2.0,5.0,5.0,4.0,4.0,13,14,13
GP,F,no,no,4.0,5.0,2.0,1.0,1.0,5.0,20.0,12,13,12
GP,F,no,yes,2.0,1.0,1.0,1.0,1.0,3.0,2.0,12,13,11
GP,M,no,no,5.0,5.0,4.0,3.0,5.0,2.0,0.0,5,7,7
GP,M,no,yes,2.0,5.0,5.0,1.0,4.0,5.0,14.0,12,12,12
GP,M,yes,no,3.0,3.0,3.0,2.0,3.0,4.0,2.0,11,10,11
GP,M,no,yes,5.0,4.0,5.0,1.0,1.0,3.0,0.0,2,6,0
GP,M,no,yes,5.0,3.0,2.0,1.0,2.0,5.0,0.0,12,13,12
GP,F,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,2,7,0
GP,M,no,no,4.0,3.0,3.0,1.0,1.0,4.0,6.0,18,18,18
GP,M,no,no,5.0,2.0,2.0,1.0,1.0,2.0,4.0,12,12,12
GP,M,no,no,5.0,4.0,5.0,5.0,5.0,1.0,16.0,7,6,8
GP,M,no,no,4.0,3.0,3.0,1.0,3.0,5.0,8.0,4,3,5
GP,M,yes,no,4.0,3.0,2.0,2.0,4.0,5.0,0.0,14,13,15
GP,M,no,no,4.0,4.0,5.0,2.0,4.0,5.0,0.0,7,6,8
GP,M,no,no,5.0,3.0,3.0,1.0,3.0,2.0,6.0,9,7,10
GP,M,no,no,3.0,2.0,5.0,2.0,5.0,5.0,4.0,8,6,9
GP,M,no,yes,3.0,3.0,2.0,1.0,3.0,3.0,0.0,8,8,9
GP,M,no,no,4.0,4.0,2.0,2.0,4.0,5.0,0.0,11,8,12
GP,M,no,yes,4.0,4.0,4.0,1.0,2.0,5.0,2.0,8,7,9
GP,F,yes,yes,4.0,2.0,3.0,1.0,1.0,4.0,6.0,13,14,12
GP,M,no,no,4.0,3.0,1.0,1.0,1.0,1.0,12.0,11,11,11
GP,M,no,yes,5.0,2.0,4.0,1.0,2.0,4.0,8.0,14,15,14
GP,F,yes,yes,3.0,4.0,1.0,1.0,1.0,2.0,0.0,6,10,9
GP,F,yes,no,3.0,1.0,2.0,1.0,3.0,2.0,21.0,18,17,18
GP,M,yes,no,4.0,3.0,2.0,1.0,1.0,3.0,2.0,8,8,8
GP,M,no,yes,5.0,3.0,2.0,1.0,1.0,3.0,1.0,12,13,12
GP,F,no,yes,3.0,2.0,3.0,1.0,1.0,4.0,4.0,9,10,9
GP,F,yes,yes,4.0,3.0,3.0,1.0,1.0,3.0,0.0,6,9,10
GP,M,yes,yes,4.0,2.0,5.0,3.0,4.0,1.0,13.0,17,17,17
GP,M,yes,yes,5.0,4.0,4.0,3.0,4.0,5.0,2.0,9,9,9
GP,F,yes,yes,4.0,3.0,4.0,2.0,2.0,4.0,8.0,11,12,10
GP,M,yes,yes,5.0,4.0,5.0,1.0,3.0,5.0,10.0,10,10,9
GP,F,no,no,4.0,3.0,5.0,1.0,2.0,3.0,0.0,2,6,0
GP,F,yes,yes,4.0,3.0,5.0,3.0,3.0,5.0,15.0,9,9,9
GP,F,yes,yes,4.0,5.0,5.0,1.0,3.0,2.0,4.0,14,15,14
GP,F,yes,no,4.0,4.0,3.0,1.0,1.0,3.0,2.0,11,11,11
GP,M,yes,yes,3.0,5.0,2.0,2.0,2.0,1.0,2.0,14,15,14
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,1.0,2.0,10,10,10
GP,F,yes,no,4.0,4.0,4.0,2.0,3.0,5.0,6.0,12,12,12
GP,F,no,no,4.0,1.0,1.0,1.0,1.0,5.0,75.0,9,10,9
GP,M,yes,yes,3.0,2.0,4.0,1.0,4.0,3.0,22.0,9,9,9
GP,F,no,yes,2.0,4.0,4.0,1.0,1.0,4.0,15.0,8,9,8
GP,M,yes,yes,4.0,2.0,3.0,1.0,2.0,1.0,8.0,10,10,11
GP,M,yes,yes,4.0,5.0,4.0,2.0,4.0,5.0,30.0,8,8,8
GP,M,no,no,4.0,4.0,4.0,3.0,4.0,3.0,19.0,10,11,9
GP,F,yes,yes,5.0,2.0,2.0,1.0,1.0,3.0,1.0,12,12,12
GP,F,no,yes,5.0,4.0,4.0,1.0,1.0,4.0,4.0,9,8,9
GP,F,no,no,5.0,4.0,5.0,1.0,2.0,5.0,4.0,10,10,9
GP,M,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11,12,10
GP,F,yes,no,4.0,3.0,3.0,1.0,2.0,2.0,5.0,18,18,18
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,3.0,6.0,12,13,12
GP,M,yes,yes,4.0,2.0,4.0,1.0,3.0,2.0,6.0,14,15,14
GP,M,yes,yes,5.0,4.0,3.0,1.0,1.0,2.0,9.0,14,15,13
GP,M,yes,yes,4.0,3.0,2.0,1.0,4.0,5.0,11.0,11,12,11
GP,F,yes,no,4.0,2.0,2.0,1.0,2.0,3.0,0.0,15,15,15
GP,F,no,no,5.0,4.0,3.0,1.0,1.0,5.0,12.0,12,12,12
GP,F,yes,no,3.0,1.0,2.0,1.0,1.0,3.0,6.0,18,18,18
GP,M,yes,yes,5.0,4.0,2.0,1.0,1.0,4.0,8.0,14,14,13
GP,M,yes,no,4.0,4.0,3.0,1.0,3.0,5.0,4.0,12,14,12
GP,F,yes,yes,2.0,3.0,4.0,2.0,3.0,2.0,0.0,6,10,9
GP,F,yes,no,4.0,4.0,5.0,1.0,2.0,2.0,10.0,9,10,8
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,3.0,0.0,14,14,13
GP,M,yes,no,1.0,4.0,2.0,2.0,2.0,1.0,5.0,16,16,15
GP,F,no,no,4.0,2.0,4.0,1.0,1.0,4.0,14.0,11,12,10
GP,M,yes,no,4.0,1.0,1.0,2.0,2.0,5.0,0.0,11,11,11
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,3.0,0.0,14,15,12
GP,F,yes,yes,5.0,2.0,2.0,1.0,2.0,5.0,0.0,17,17,17
GP,M,no,yes,4.0,4.0,4.0,1.0,1.0,3.0,20.0,14,15,14
GP,F,yes,yes,4.0,4.0,3.0,1.0,1.0,3.0,8.0,13,14,12
GP,M,no,yes,5.0,5.0,3.0,1.0,1.0,5.0,0.0,18,17,18
GP,M,yes,no,4.0,3.0,4.0,1.0,1.0,4.0,38.0,8,8,9
GP,M,no,yes,4.0,5.0,3.0,1.0,2.0,5.0,0.0,13,15,12
GP,F,no,yes,4.0,4.0,3.0,1.0,3.0,3.0,18.0,11,12,10
GP,F,no,yes,4.0,2.0,4.0,2.0,2.0,3.0,0.0,6,9,9
GP,F,no,no,3.0,4.0,1.0,1.0,1.0,2.0,20.0,13,14,12
GP,M,no,no,4.0,5.0,2.0,2.0,2.0,4.0,3.0,12,13,11
GP,F,yes,no,4.0,2.0,2.0,1.0,2.0,1.0,22.0,11,13,10
GP,F,no,no,4.0,1.0,2.0,1.0,1.0,3.0,14.0,14,15,13
GP,F,no,no,4.0,1.0,2.0,1.0,1.0,3.0,40.0,12,13,11
GP,F,yes,yes,5.0,3.0,3.0,1.0,2.0,1.0,0.0,5,8,8
