school,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,paid,activities,famrel,freetime,absences_grade
GP,M,16,U,GT3,T,4,4,home,mother,1,2,0,yes,yes,4,4,5.0
GP,M,15,U,GT3,T,4,4,home,mother,1,2,0,yes,no,5,4,1.0
GP,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,4,3,1.0
GP,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,4,5,1.0
GP,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,yes,5,3,1.0
GP,M,16,U,GT3,T,3,2,home,mother,1,1,0,yes,no,5,4,1.0
GP,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,3,5,1.0
GP,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,5,4,1.0
GP,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,2,4,3.0
GP,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,4,3,1.0
GP,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,4,3,3.0
GP,F,16,U,LE3,T,2,2,home,mother,2,2,1,no,yes,3,3,
GP,M,15,U,LE3,T,4,4,home,other,1,1,0,no,no,5,4,3.0
GP,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,4,3,1.0
GP,M,15,U,GT3,T,2,2,course,father,1,1,0,no,no,5,4,1.0
GP,F,16,U,LE3,T,2,2,course,father,2,2,1,no,yes,4,3,5.0
GP,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,5,2,3.0
GP,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,no,2,3,5.0
GP,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,yes,4,2,2.0
GP,M,15,U,GT3,T,4,2,home,mother,1,2,0,yes,no,4,3,1.0
GP,F,15,U,GT3,T,4,4,other,father,1,2,1,no,yes,4,4,1.0
GP,F,16,U,LE3,T,2,2,course,mother,3,2,0,yes,no,4,3,1.0
GP,F,15,U,LE3,T,4,2,other,mother,1,2,0,yes,no,4,3,1.0
GP,M,15,U,LE3,A,4,2,other,father,2,1,1,no,no,5,5,3.0
GP,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,no,3,3,1.0
GP,F,15,U,LE3,A,3,3,other,mother,1,1,0,yes,no,5,3,3.0
GP,F,16,U,GT3,A,2,1,other,mother,1,2,0,yes,yes,5,3,3.0
GP,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,yes,yes,4,3,1.0
GP,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,3,2,2.0
GP,M,15,U,LE3,T,1,2,home,father,1,2,0,no,yes,4,3,1.0
GP,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,no,4,2,1.0
GP,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,2,4,3.0
GP,F,16,U,GT3,T,1,1,course,father,4,1,0,no,yes,5,5,3.0
GP,F,16,U,LE3,T,1,2,reputation,father,1,2,0,no,yes,4,4,2.0
GP,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,3,4,1.0
GP,F,15,U,LE3,T,4,3,reputation,father,1,2,0,no,yes,4,4,1.0
GP,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,5,4,1.0
GP,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,1,3,2.0
GP,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,no,4,3,2.0
GP,F,15,R,LE3,T,2,2,reputation,mother,2,2,0,yes,no,4,1,1.0
GP,F,15,R,LE3,T,3,1,reputation,father,2,4,0,no,no,4,4,5.0
GP,M,16,U,GT3,T,3,1,reputation,father,2,4,0,yes,no,4,3,1.0
GP,M,15,U,GT3,T,4,2,course,mother,1,4,0,no,no,3,3,1.0
GP,F,15,R,GT3,T,1,1,reputation,mother,1,2,2,no,no,3,3,1.0
GP,M,16,U,GT3,T,3,1,reputation,mother,1,1,0,no,yes,5,3,1.0
GP,F,16,U,GT3,T,3,3,home,mother,1,2,0,yes,yes,4,3,
GP,M,15,U,GT3,T,4,3,home,mother,1,2,0,yes,yes,4,3,3.0
GP,M,15,U,GT3,T,4,0,course,mother,2,4,0,no,yes,3,4,3.0
GP,F,16,U,GT3,T,2,2,reputation,mother,1,4,0,yes,no,5,2,1.0
GP,M,17,U,GT3,T,2,1,home,mother,2,1,3,no,yes,4,5,1.0
GP,F,16,U,GT3,T,3,4,course,mother,1,2,0,no,no,2,4,5.0
GP,M,15,U,GT3,T,2,3,course,father,1,1,0,yes,yes,3,2,1.0
GP,M,15,U,GT3,T,2,3,home,mother,1,3,0,yes,no,5,3,2.0
GP,F,15,U,LE3,T,3,2,reputation,mother,1,2,0,yes,no,4,4,4.0
GP,M,15,U,LE3,T,2,2,home,mother,2,2,0,yes,yes,5,3,2.0
GP,F,15,U,GT3,T,1,1,home,father,1,2,0,no,yes,4,3,1.0
GP,F,15,U,GT3,T,4,4,reputation,father,2,2,2,yes,no,4,4,3.0
GP,F,16,U,LE3,T,2,2,course,mother,1,2,0,no,no,4,3,2.0
GP,F,15,U,GT3,T,4,2,reputation,mother,1,3,0,no,yes,5,3,2.0
GP,M,16,U,GT3,T,2,2,reputation,father,2,2,1,yes,yes,4,4,5.0
GP,M,16,U,LE3,A,4,4,reputation,mother,1,2,0,no,no,4,1,5.0
GP,F,16,U,GT3,T,3,3,home,mother,1,3,0,yes,no,4,3,1.0
GP,F,15,U,GT3,T,4,3,reputation,mother,1,1,0,yes,yes,4,5,2.0
GP,F,16,U,LE3,T,3,1,home,father,1,2,0,no,no,3,3,2.0
GP,F,16,U,GT3,T,4,2,home,mother,2,2,0,yes,yes,5,3,1.0
GP,M,15,U,LE3,T,2,2,reputation,mother,1,4,0,no,yes,4,3,3.0
GP,F,15,R,GT3,T,1,1,home,mother,2,4,1,yes,yes,3,1,1.0
GP,M,16,R,GT3,T,4,3,reputation,mother,2,1,0,no,yes,3,3,1.0
GP,F,16,U,GT3,T,2,1,course,mother,1,2,0,yes,no,4,3,1.0
GP,F,16,U,GT3,T,4,4,reputation,mother,1,1,0,no,yes,5,3,3.0
GP,F,16,U,GT3,T,4,3,course,mother,1,3,0,yes,no,5,3,1.0
GP,M,16,U,GT3,T,4,4,other,mother,1,1,0,yes,yes,4,5,5.0
GP,M,16,U,GT3,T,4,4,other,father,1,3,0,no,yes,4,4,1.0
GP,M,15,U,GT3,T,4,4,course,mother,1,1,0,no,yes,5,3,2.0
GP,F,15,U,GT3,T,3,2,home,mother,2,2,0,yes,no,4,3,
GP,M,15,U,GT3,A,3,4,course,mother,1,2,0,yes,yes,5,4,1.0
GP,F,15,U,GT3,A,3,3,reputation,father,1,4,0,no,no,4,3,4.0
GP,F,15,U,GT3,T,2,2,course,mother,1,4,0,yes,no,5,1,3.0
GP,M,16,U,GT3,T,3,3,home,father,1,3,0,no,yes,5,3,1.0
GP,M,15,R,GT3,T,4,4,home,father,4,4,0,yes,yes,1,3,3.0
GP,F,16,U,LE3,T,4,4,other,mother,1,3,0,yes,yes,5,4,2.0
GP,M,15,U,LE3,A,4,4,course,mother,1,1,0,no,yes,5,5,3.0
GP,F,16,R,GT3,T,3,3,reputation,father,1,3,1,no,yes,4,1,1.0
GP,F,16,U,GT3,T,2,2,home,mother,1,2,1,no,yes,3,1,3.0
GP,M,15,U,LE3,T,4,2,course,mother,1,1,0,no,no,3,5,4.0
GP,M,15,R,GT3,T,2,1,reputation,mother,1,2,0,no,yes,5,4,3.0
GP,M,16,U,GT3,T,4,4,course,father,1,2,0,no,yes,5,4,1.0
GP,M,15,U,GT3,T,4,4,reputation,father,2,2,0,no,yes,4,4,1.0
GP,M,16,U,GT3,T,3,3,home,father,2,1,0,no,yes,5,4,1.0
GP,M,17,R,GT3,T,1,3,course,father,3,2,1,no,yes,5,2,5.0
GP,M,15,U,GT3,T,3,4,reputation,father,1,1,0,no,no,3,4,3.0
GP,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,no,3,2,1.0
GP,M,15,U,GT3,T,2,2,home,father,1,4,0,yes,yes,5,5,3.0
GP,F,16,U,LE3,T,2,4,course,father,2,2,0,yes,yes,4,2,1.0
GP,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,3,4,5.0
GP,F,16,U,GT3,T,2,2,home,mother,1,2,0,yes,no,5,4,1.0
GP,M,15,U,GT3,T,3,4,home,father,1,1,0,no,no,5,5,1.0
GP,F,15,U,LE3,A,3,4,home,mother,1,2,0,no,yes,5,3,1.0
GP,F,19,U,GT3,T,0,1,course,other,1,2,3,no,no,3,4,1.0
GP,M,18,R,GT3,T,2,2,reputation,mother,1,1,2,no,yes,3,3,1.0
GP,M,16,R,GT3,T,4,4,course,mother,1,1,0,yes,yes,3,5,3.0
GP,F,15,R,GT3,T,3,4,course,father,2,3,2,no,no,4,2,1.0
GP,F,15,U,GT3,T,1,1,course,mother,3,1,0,no,yes,4,3,1.0
GP,F,17,U,LE3,T,2,2,course,father,1,1,0,no,no,3,4,5.0
GP,F,16,U,GT3,A,3,4,course,father,1,1,0,no,no,3,2,5.0
GP,M,15,R,GT3,T,3,4,course,mother,4,2,0,no,no,5,3,1.0
GP,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,4,3,1.0
GP,M,17,R,GT3,T,3,4,course,mother,3,2,0,no,no,5,4,1.0
GP,F,16,U,GT3,A,3,3,course,other,2,1,2,no,yes,4,3,1.0
GP,M,16,U,LE3,T,1,1,course,mother,1,2,1,no,no,4,4,1.0
GP,F,15,U,GT3,T,4,4,course,mother,2,1,0,no,yes,4,3,1.0
GP,M,15,U,GT3,T,4,3,course,father,2,4,0,no,no,2,2,1.0
GP,M,16,U,LE3,T,2,2,reputation,father,2,1,2,no,yes,2,3,3.0
GP,F,15,U,GT3,T,4,4,course,mother,1,3,0,yes,yes,4,2,1.0
GP,F,16,U,LE3,T,1,1,course,mother,1,1,0,no,no,3,4,1.0
GP,M,17,U,GT3,T,2,1,home,mother,1,1,3,no,no,5,4,1.0
GP,F,15,U,GT3,T,1,1,course,father,1,2,0,yes,no,4,4,1.0
GP,F,15,U,GT3,T,3,2,home,father,1,2,3,no,no,3,3,1.0
GP,F,15,U,GT3,T,1,2,course,mother,1,2,0,yes,no,4,3,1.0
GP,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,no,3,3,1.0
GP,M,15,U,LE3,A,2,1,course,mother,4,1,3,no,no,4,5,1.0
GP,M,18,U,LE3,T,1,1,course,mother,1,1,3,no,no,2,3,1.0
GP,M,16,U,LE3,T,2,1,course,mother,1,1,1,no,yes,4,4,3.0
GP,F,15,R,GT3,T,3,3,reputation,other,2,3,2,yes,yes,4,2,3.0
GP,M,19,U,GT3,T,3,2,home,mother,1,1,3,no,no,4,5,1.0
GP,F,17,U,GT3,T,4,4,course,mother,1,1,0,no,no,4,2,1.0
GP,M,15,R,GT3,T,2,3,course,mother,1,2,0,yes,yes,4,4,1.0
GP,M,17,R,LE3,T,1,2,reputation,mother,1,1,0,no,no,2,2,3.0
GP,F,18,R,GT3,T,1,1,course,mother,3,1,3,no,yes,5,2,3.0
GP,M,16,R,GT3,T,2,2,course,mother,3,1,0,no,no,4,2,1.0
GP,M,16,U,GT3,T,3,3,course,father,1,2,1,yes,no,4,5,2.0
GP,M,17,R,LE3,T,2,1,course,mother,2,1,2,no,yes,3,3,1.0
GP,M,15,R,GT3,T,3,2,course,mother,2,2,2,no,no,4,4,3.0
GP,M,16,U,LE3,T,1,2,course,mother,2,1,1,no,yes,4,4,1.0
GP,M,17,U,GT3,T,1,3,course,father,1,1,0,no,no,5,3,1.0
GP,M,17,R,LE3,T,1,1,course,mother,4,2,3,no,yes,5,3,1.0
GP,M,16,U,GT3,T,3,2,course,mother,2,1,1,no,yes,4,5,5.0
GP,M,16,U,GT3,T,2,2,course,father,1,2,0,no,no,4,3,2.0
GP,F,16,U,GT3,T,4,2,home,father,1,2,0,yes,no,4,2,1.0
GP,F,16,U,GT3,T,2,2,home,mother,1,2,0,yes,no,5,1,1.0
GP,F,16,U,GT3,T,4,4,reputation,mother,1,2,0,yes,no,4,4,1.0
GP,M,16,U,GT3,T,3,4,course,father,3,1,2,no,yes,3,4,1.0
GP,M,16,U,GT3,T,1,0,reputation,mother,2,2,0,yes,yes,4,3,1.0
GP,M,17,U,LE3,T,4,4,reputation,mother,1,2,0,yes,yes,4,4,1.0
GP,F,16,U,GT3,T,1,3,home,mother,1,2,3,no,yes,4,3,1.0
GP,F,16,U,LE3,T,3,3,reputation,mother,2,2,0,yes,yes,4,4,2.0
GP,M,17,U,LE3,T,4,3,course,mother,2,2,0,yes,yes,4,4,2.0
GP,F,16,U,GT3,T,2,2,reputation,mother,2,2,0,yes,yes,3,4,1.0
GP,M,17,U,GT3,T,3,3,reputation,father,1,2,0,no,yes,4,3,2.0
GP,M,16,R,GT3,T,4,2,other,mother,1,1,0,no,yes,4,3,4.0
GP,M,17,U,GT3,T,4,3,course,mother,1,2,0,no,yes,5,2,2.0
GP,M,16,U,GT3,T,4,3,home,mother,1,2,0,yes,yes,3,4,4.0
GP,M,16,U,GT3,T,3,3,home,mother,1,2,0,yes,yes,4,2,1.0
GP,F,17,U,GT3,T,2,4,reputation,father,1,2,0,no,yes,5,4,1.0
GP,F,17,U,LE3,T,3,3,reputation,mother,1,2,0,no,yes,5,3,
GP,F,16,U,GT3,T,3,2,reputation,mother,1,2,0,yes,no,1,2,5.0
GP,M,17,U,GT3,T,3,3,other,mother,1,2,0,no,yes,4,3,5.0
GP,M,16,U,GT3,T,1,2,other,mother,1,1,0,yes,yes,3,3,1.0
GP,M,16,U,LE3,T,2,1,course,mother,1,2,0,yes,yes,4,2,1.0
GP,F,17,U,GT3,A,3,3,reputation,mother,1,2,0,no,no,3,3,3.0
GP,M,17,R,GT3,T,1,2,home,mother,1,2,0,no,no,3,1,2.0
GP,F,16,U,GT3,T,2,3,course,mother,1,2,0,no,no,4,3,4.0
GP,F,17,U,GT3,T,1,1,course,mother,1,2,0,no,yes,5,3,1.0
GP,M,17,U,GT3,T,1,2,other,other,2,2,0,yes,yes,4,4,5.0
GP,M,16,R,GT3,T,3,3,reputation,mother,1,1,0,no,yes,4,3,3.0
GP,M,16,U,GT3,T,2,3,home,father,2,1,0,no,no,5,3,1.0
GP,F,17,U,LE3,T,2,4,course,father,1,2,0,no,yes,4,3,1.0
GP,M,17,U,GT3,T,4,4,home,mother,1,1,0,no,no,5,2,2.0
GP,M,16,R,LE3,T,3,3,home,father,3,1,0,yes,yes,3,3,3.0
GP,F,17,U,GT3,T,4,4,home,mother,2,1,1,no,no,4,2,
GP,F,16,U,LE3,T,4,4,reputation,mother,1,2,0,yes,no,4,5,1.0
GP,F,16,U,GT3,T,4,3,home,mother,1,2,0,no,yes,4,3,1.0
GP,F,16,U,GT3,T,2,3,reputation,mother,1,2,0,yes,yes,4,4,3.0
GP,F,17,U,GT3,T,1,1,course,mother,1,2,0,yes,no,4,4,2.0
GP,F,17,R,GT3,T,2,2,reputation,mother,1,1,0,no,no,5,3,5.0
GP,F,16,R,GT3,T,2,2,reputation,mother,2,4,0,yes,yes,5,3,3.0
GP,F,17,U,GT3,T,3,4,home,mother,1,3,1,yes,no,4,4,
GP,F,16,U,GT3,A,3,1,course,mother,1,2,3,yes,no,2,3,2.0
GP,F,16,U,GT3,T,4,3,other,mother,1,2,0,yes,yes,1,3,4.0
GP,F,16,U,GT3,T,1,1,home,mother,2,1,0,yes,no,4,3,3.0
GP,F,17,R,GT3,T,4,3,reputation,mother,2,3,0,yes,yes,4,4,3.0
GP,F,19,U,GT3,T,3,3,reputation,other,1,4,0,yes,yes,4,3,4.0
GP,M,17,U,LE3,T,4,4,home,mother,1,2,0,yes,no,5,3,5.0
GP,F,16,U,GT3,A,2,2,reputation,mother,1,2,0,yes,no,3,3,1.0
GP,M,18,U,GT3,T,2,2,home,mother,1,2,1,yes,yes,4,4,5.0
GP,F,17,R,LE3,T,4,4,other,mother,1,1,0,yes,no,5,2,5.0
GP,F,17,U,LE3,T,3,2,reputation,mother,2,2,0,yes,no,4,4,1.0
GP,F,17,U,GT3,T,4,3,reputation,mother,1,2,2,yes,no,3,4,
GP,M,18,U,LE3,T,3,3,home,father,1,2,1,yes,no,3,2,5.0
GP,F,17,U,GT3,T,2,3,home,father,2,1,0,yes,no,3,3,2.0
GP,F,17,U,GT3,T,2,2,course,mother,1,3,0,yes,yes,4,3,2.0
GP,F,17,R,GT3,T,2,1,reputation,mother,2,2,0,no,yes,4,2,1.0
GP,F,17,U,GT3,T,1,1,reputation,mother,1,3,1,no,yes,4,3,1.0
GP,F,16,U,GT3,T,2,3,other,mother,1,2,0,no,no,2,3,1.0
GP,M,18,U,GT3,T,2,2,home,mother,2,2,0,yes,no,3,3,1.0
GP,F,16,U,GT3,T,4,4,home,mother,1,3,0,no,yes,5,3,1.0
GP,F,18,R,GT3,T,3,1,reputation,mother,1,2,1,no,yes,5,3,5.0
GP,F,17,U,GT3,T,3,2,course,mother,1,2,0,no,yes,5,3,4.0
GP,M,17,U,LE3,T,2,3,reputation,father,1,2,0,yes,no,5,3,1.0
GP,M,18,U,LE3,T,2,1,course,mother,4,2,0,yes,yes,4,3,5.0
GP,F,17,U,GT3,A,2,1,course,mother,2,3,0,no,yes,3,2,4.0
GP,F,17,U,LE3,T,4,3,reputation,father,1,2,0,no,yes,3,2,5.0
GP,M,17,R,GT3,T,2,2,course,father,2,2,0,yes,yes,4,5,2.0
GP,M,17,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,4,5,5.0
GP,M,16,U,GT3,T,4,4,reputation,father,1,2,0,yes,yes,4,2,1.0
GP,M,16,U,LE3,T,1,1,home,mother,2,2,0,yes,no,3,4,5.0
GP,M,16,U,GT3,T,3,2,reputation,mother,2,3,0,no,yes,5,3,4.0
GP,M,17,U,LE3,T,2,2,home,father,1,2,0,yes,yes,4,4,2.0
GP,F,16,U,GT3,T,2,1,home,mother,1,1,0,no,no,4,5,5.0
GP,F,17,R,GT3,T,2,1,course,mother,3,2,0,no,yes,2,1,1.0
GP,M,18,U,GT3,T,2,2,reputation,father,1,2,1,no,no,5,5,1.0
GP,M,17,U,LE3,T,4,3,course,mother,2,2,0,no,yes,2,5,5.0
GP,M,17,R,LE3,A,4,4,course,mother,2,2,0,yes,no,3,3,1.0
GP,M,16,U,LE3,T,4,3,course,mother,1,1,0,no,yes,5,4,1.0
GP,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,5,3,1.0
GP,F,18,U,GT3,T,2,1,course,other,2,3,0,yes,no,4,4,1.0
GP,M,16,U,GT3,T,2,1,course,mother,3,1,0,no,no,4,3,3.0
GP,M,17,U,GT3,T,2,3,course,father,2,1,0,no,no,5,2,2.0
GP,M,22,U,GT3,T,3,1,other,mother,1,1,3,no,no,5,4,5.0
GP,M,18,R,LE3,T,3,3,course,mother,1,2,1,no,no,4,3,3.0
GP,M,16,U,GT3,T,0,2,other,mother,1,1,0,yes,no,4,3,1.0
GP,M,18,U,GT3,T,3,2,course,mother,2,1,1,no,no,4,4,1.0
GP,M,16,U,GT3,T,3,3,reputation,other,3,2,0,no,no,5,3,3.0
GP,M,18,U,GT3,T,2,1,other,mother,1,1,1,no,no,3,2,2.0
GP,M,16,R,GT3,T,2,1,course,mother,2,1,0,no,yes,3,3,1.0
GP,M,17,R,GT3,T,2,1,course,mother,1,1,0,no,no,4,4,1.0
GP,M,17,U,LE3,T,1,1,course,mother,2,1,1,no,yes,4,4,1.0
GP,F,17,U,LE3,T,4,2,reputation,mother,1,4,0,yes,yes,4,2,3.0
GP,M,19,U,LE3,A,4,3,reputation,mother,1,2,0,no,no,4,3,5.0
GP,M,18,U,GT3,T,2,1,home,mother,1,2,0,no,yes,5,2,3.0
GP,F,17,U,LE3,T,2,2,course,father,1,4,0,yes,yes,3,4,1.0
GP,F,18,U,GT3,T,4,3,home,father,1,2,0,yes,no,3,1,
GP,M,18,U,GT3,T,4,3,course,mother,1,2,0,yes,no,4,3,1.0
GP,M,18,R,GT3,T,3,2,course,mother,1,3,0,no,yes,5,3,1.0
GP,F,17,U,GT3,T,3,3,home,mother,1,3,0,no,yes,3,2,2.0
GP,F,18,U,GT3,T,2,2,home,mother,1,3,0,yes,yes,4,3,1.0
GP,M,18,R,LE3,A,3,4,reputation,mother,2,2,0,yes,yes,4,2,5.0
GP,M,17,U,GT3,T,3,1,other,mother,1,2,0,yes,yes,5,4,1.0
GP,F,18,R,GT3,T,4,4,reputation,mother,2,2,0,yes,yes,4,3,3.0
GP,M,18,U,GT3,T,4,2,reputation,father,1,2,0,yes,yes,5,4,4.0
GP,F,18,R,GT3,T,2,1,reputation,mother,2,2,0,no,no,4,3,1.0
GP,F,19,U,GT3,T,3,3,home,other,1,2,2,yes,yes,4,3,5.0
GP,F,18,U,GT3,T,2,3,reputation,father,1,4,0,yes,yes,4,5,2.0
GP,F,18,U,LE3,T,1,1,home,mother,2,2,0,yes,no,4,4,1.0
GP,M,17,R,GT3,T,1,2,home,mother,1,2,0,yes,yes,3,5,1.0
GP,F,17,U,GT3,T,2,4,reputation,mother,2,2,0,yes,no,4,3,1.0
GP,F,17,U,LE3,T,2,2,course,mother,2,2,0,yes,no,4,4,3.0
GP,F,18,R,GT3,A,3,2,home,mother,2,2,0,no,no,4,1,
GP,M,18,U,GT3,T,4,4,home,mother,2,1,0,yes,yes,3,2,
GP,F,18,U,GT3,T,4,4,reputation,father,1,2,1,no,yes,2,4,5.0
GP,M,18,U,LE3,T,4,3,course,mother,2,1,0,yes,yes,4,2,3.0
GP,M,17,U,LE3,A,4,1,home,mother,2,1,0,yes,yes,4,5,
GP,M,17,U,LE3,A,3,2,home,mother,1,1,1,no,no,4,4,5.0
GP,F,18,R,LE3,T,1,1,reputation,mother,2,4,0,yes,yes,5,2,1.0
GP,F,18,U,GT3,T,1,1,home,mother,2,2,0,no,yes,5,4,2.0
GP,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,no,5,4,2.0
GP,M,17,U,GT3,T,1,1,reputation,father,1,2,0,yes,no,4,3,1.0
GP,F,18,U,GT3,T,2,2,other,mother,1,3,0,yes,no,4,3,2.0
GP,F,17,U,GT3,T,1,1,reputation,mother,1,3,0,yes,no,4,3,3.0
GP,M,18,U,GT3,T,2,1,reputation,mother,1,3,0,yes,yes,4,2,3.0
GP,M,18,U,LE3,A,4,4,reputation,mother,1,2,0,yes,yes,5,4,4.0
GP,M,18,U,GT3,T,4,2,home,mother,1,2,0,yes,yes,4,3,5.0
GP,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,yes,no,4,2,1.0
GP,F,18,U,LE3,T,2,1,reputation,mother,1,2,1,no,no,5,4,5.0
GP,F,17,R,LE3,T,3,1,reputation,mother,2,4,0,yes,no,3,1,3.0
GP,M,18,R,LE3,T,3,2,reputation,mother,2,3,0,yes,yes,5,4,3.0
GP,M,17,U,GT3,T,3,3,home,mother,1,1,0,yes,no,4,4,2.0
GP,F,19,U,GT3,T,4,4,reputation,other,2,2,0,yes,yes,2,3,1.0
GP,F,18,U,LE3,T,4,3,home,other,2,2,0,yes,no,4,4,4.0
GP,F,18,U,GT3,T,4,3,reputation,father,1,4,0,yes,no,4,3,1.0
GP,M,18,U,LE3,T,4,4,home,mother,1,1,0,yes,no,1,4,2.0
GP,F,18,U,LE3,A,4,4,home,mother,1,2,0,no,no,4,2,5.0
GP,M,17,U,LE3,T,4,4,home,father,2,1,0,yes,no,4,1,1.0
GP,F,17,U,GT3,T,4,2,reputation,mother,2,3,0,yes,no,4,3,1.0
GP,F,17,U,GT3,T,3,2,reputation,father,1,4,0,yes,yes,5,2,1.0
GP,M,19,U,GT3,T,3,3,home,other,1,2,1,no,yes,4,4,5.0
GP,F,18,U,GT3,T,2,4,reputation,other,1,2,1,yes,yes,4,4,3.0
GP,M,20,U,GT3,A,3,2,course,other,1,1,0,no,yes,5,5,1.0
GP,M,19,U,GT3,T,4,4,reputation,other,2,1,1,yes,no,4,3,
GP,M,19,R,GT3,T,3,3,reputation,father,1,2,1,no,yes,4,5,1.0
GP,F,19,U,LE3,T,1,1,reputation,other,1,2,1,no,yes,4,4,5.0
GP,F,19,U,LE3,T,1,2,home,other,1,2,1,no,yes,4,2,1.0
GP,F,19,U,GT3,T,2,1,other,other,3,2,0,no,no,3,4,5.0
GP,M,19,U,GT3,T,1,2,course,other,1,2,1,no,no,4,5,2.0
GP,F,19,U,LE3,T,3,2,reputation,other,2,2,1,yes,no,4,2,
GP,F,19,U,GT3,T,1,1,home,other,1,3,2,no,no,4,1,5.0
GP,F,19,R,GT3,T,2,3,reputation,other,1,3,1,no,no,4,1,
GP,F,18,U,GT3,T,2,1,course,mother,2,2,0,yes,yes,5,3,1.0
GP,F,18,U,GT3,T,4,3,course,mother,1,3,0,yes,yes,4,3,4.0
GP,F,17,R,GT3,T,3,4,course,father,1,3,0,yes,yes,4,3,1.0
GP,F,18,U,GT3,T,4,4,course,mother,1,2,0,yes,no,4,4,1.0
GP,F,17,U,GT3,A,4,3,course,mother,1,2,0,yes,no,5,2,
