"credit.rating","account.balance","credit.duration.months","previous.credit.payment.status","credit.purpose","credit.amount","savings","employment.duration","installment.rate","marital.status","guarantor","residence.duration","current.assets","age","other.credits","apartment.type","bank.credits","occupation","dependents","telephone","foreign.worker"
"1","2",12,"3","4",1995,"2","1","4","3","1","1","3",27,"2","2","1","3","1","1","1"
"1","2",30,"2","3",2991,"4","4","2","1","1","4","3",25,"2","2","1","3","1","1","1"
"1","2",30,"1","4",4221,"1","2","2","1","1","1","3",28,"2","2","2","3","1","1","1"
"1","1",9,"2","3",1364,"1","3","3","3","1","4","1",59,"2","2","1","3","1","1","1"
"1","2",18,"3","2",6361,"1","4","2","3","1","1","4",41,"2","2","1","3","1","2","1"
"1","3",27,"3","2",4526,"3","1","4","3","1","2","1",32,"1","2","2","2","2","2","1"
"1","2",12,"3","3",3573,"1","2","1","1","1","1","1",23,"2","2","1","2","1","1","1"
"0","2",36,"3","4",4455,"1","2","2","1","1","2","1",30,"1","2","2","4","1","2","1"
"1","1",9,"2","2",2136,"1","2","3","3","1","2","1",25,"2","2","1","3","1","1","1"
"1","2",42,"3","4",5954,"1","3","2","1","1","1","1",41,"1","2","2","2","1","1","1"
"1","3",24,"3","2",3777,"3","2","4","3","1","4","1",40,"2","2","1","3","1","2","1"
"1","1",15,"2","4",806,"1","2","4","1","1","4","2",22,"2","2","1","2","1","1","1"
"1","2",24,"3","4",4712,"4","2","4","3","1","2","2",34,"1","2","2","4","1","2","1"
"1","2",36,"3","4",7432,"1","2","2","1","1","2","2",54,"2","1","1","3","1","1","1"
"1","3",24,"3","3",1851,"1","3","4","4","2","2","3",33,"2","2","2","3","1","2","1"
"1","3",24,"2","4",1393,"1","2","2","3","2","2","1",31,"2","2","1","3","1","2","1"
"1","3",12,"3","4",1412,"1","2","4","1","2","2","1",29,"2","2","2","4","1","2","1"
"1","3",18,"2","3",1473,"1","1","3","4","1","4","1",39,"2","2","1","3","1","2","1"
"1","3",24,"2","3",1533,"1","1","4","1","1","3","3",38,"1","2","1","3","1","2","1"
"1","3",12,"3","3",2012,"4","3","4","1","1","2","3",61,"2","2","1","3","1","1","1"
"0","1",15,"2","4",3959,"1","2","3","1","1","2","2",29,"2","2","1","3","1","2","1"
"1","1",6,"2","2",428,"1","4","2","1","1","1","2",49,"1","2","1","3","1","2","1"
"1","2",12,"3","4",2366,"3","3","3","1","1","3","3",36,"2","2","1","4","1","2","1"
"1","3",12,"2","2",763,"1","2","4","1","1","1","1",26,"2","2","1","3","1","2","1"
"1","2",21,"2","2",3976,"4","3","2","3","1","3","3",35,"2","2","1","3","1","2","1"
"1","2",18,"2","4",6260,"1","3","3","3","1","3","1",28,"2","1","1","2","1","1","1"
"1","2",9,"3","2",1919,"1","3","4","3","1","3","3",35,"2","1","1","3","1","2","1"
"1","3",24,"2","1",2603,"3","2","2","1","1","4","3",28,"2","1","1","3","1","2","1"
"1","3",9,"3","3",936,"3","4","4","3","1","2","3",52,"2","2","2","3","1","2","1"
"1","3",24,"2","2",3062,"3","4","4","3","1","3","4",32,"2","1","1","3","1","2","1"
"1","2",36,"2","3",4795,"1","1","4","1","1","1","4",30,"2","2","1","4","1","2","1"
"1","3",36,"3","1",5842,"1","4","2","3","1","2","2",35,"2","2","2","3","2","2","1"
"1","2",6,"2","3",2063,"1","1","4","4","1","3","3",30,"2","1","1","4","1","2","1"
"1","3",15,"3","3",1459,"1","2","4","1","1","2","3",43,"2","2","1","2","1","1","1"
"1","3",15,"2","3",1213,"3","4","4","3","1","3","2",47,"1","2","1","3","1","2","1"
"1","3",24,"3","3",5103,"1","1","3","4","1","3","4",47,"2","3","2","3","1","2","1"
"1","3",15,"2","3",874,"4","1","4","1","1","1","1",24,"2","2","1","3","1","1","1"
"1","3",6,"2","2",2978,"3","2","1","3","1","2","3",32,"2","2","1","3","1","2","1"
"1","3",18,"2","4",1820,"1","2","2","4","1","2","2",30,"2","2","1","4","1","2","1"
"1","3",24,"3","3",2872,"2","4","3","3","1","4","1",36,"2","2","1","3","2","2","1"
"1","3",24,"2","2",1925,"1","2","2","3","1","2","1",26,"2","2","1","3","1","1","1"
"1","3",18,"2","2",2515,"1","2","3","3","1","4","1",43,"2","2","1","3","1","2","1"
"1","3",6,"2","2",2116,"1","2","2","3","1","2","1",41,"2","2","1","3","1","2","1"
"1","3",18,"2","3",1453,"1","1","3","1","1","1","1",26,"2","2","1","3","1","1","1"
"1","3",10,"2","4",1364,"1","2","2","1","1","4","3",64,"2","2","1","3","1","2","1"
"1","3",6,"2","2",1543,"3","2","4","1","1","2","1",33,"2","2","1","3","1","1","1"
"1","2",12,"2","4",1318,"3","4","4","3","1","4","1",54,"2","2","1","3","1","2","1"
"1","1",24,"1","4",2325,"2","3","2","3","1","3","3",32,"1","2","1","3","1","1","1"
"1","2",6,"3","4",932,"4","3","1","1","1","3","2",39,"2","2","2","2","1","1","1"
"1","3",24,"3","3",3148,"4","2","3","3","1","2","3",31,"2","2","2","3","1","2","1"
"1","3",36,"2","3",3835,"4","4","2","1","1","4","1",45,"2","2","1","2","1","2","1"
"1","3",9,"2","3",3832,"4","4","1","3","1","4","1",64,"2","2","1","2","1","1","1"
"1","2",24,"2","3",5084,"4","4","2","1","1","4","3",42,"2","2","1","3","1","2","1"
"1","3",9,"3","2",2406,"1","1","2","3","1","3","3",31,"2","2","1","4","1","1","1"
"1","3",36,"2","3",2394,"4","2","4","1","1","4","3",25,"2","2","1","3","1","1","1"
"1","3",21,"2","1",2476,"4","4","4","3","1","4","1",46,"2","2","1","4","1","2","1"
"1","1",24,"2","1",2964,"4","4","4","3","1","4","4",49,"1","3","1","3","2","2","1"
"1","1",12,"2","2",1262,"4","4","2","1","1","4","2",49,"2","2","1","2","1","2","1"
"1","3",12,"2","4",1542,"1","3","2","3","1","4","3",36,"2","2","1","3","1","2","1"
"1","2",24,"3","3",1743,"1","4","4","3","1","2","2",48,"2","2","2","2","1","1","1"
"1","3",12,"1","3",409,"3","2","3","1","1","3","1",42,"2","1","2","3","1","1","1"
"1","3",12,"2","3",2171,"1","1","2","1","1","2","3",29,"1","2","1","3","1","1","1"
"1","3",48,"3","1",8858,"4","3","2","3","1","1","4",35,"2","3","2","3","1","2","1"
"1","2",24,"2","4",3512,"2","3","2","3","1","3","3",38,"1","2","2","3","1","2","1"
"1","2",12,"2","3",1158,"3","2","3","1","1","1","3",26,"2","2","1","3","1","2","1"
"1","3",24,"3","3",2684,"1","2","4","3","1","2","1",35,"2","2","2","2","1","1","1"
"1","1",12,"2","3",1498,"1","2","4","1","1","1","3",23,"1","2","1","3","1","1","1"
"1","3",30,"3","3",5954,"1","3","3","3","2","2","3",38,"2","2","1","3","1","1","1"
"0","2",48,"1","4",6416,"1","4","4","1","1","3","4",59,"2","1","1","3","1","1","1"
"1","2",12,"3","2",3617,"1","4","1","3","1","4","3",28,"2","1","2","3","1","2","1"
"1","3",12,"3","3",1291,"1","2","4","1","1","2","2",35,"2","2","2","3","1","1","1"
"1","3",24,"3","4",1275,"3","2","2","1","1","4","1",36,"2","2","2","3","1","2","1"
"1","3",24,"2","2",3972,"1","3","2","1","1","4","2",25,"2","1","1","3","1","2","1"
"1","3",15,"3","2",3343,"1","2","4","3","1","2","4",28,"2","3","1","3","1","2","1"
"1","3",15,"2","3",392,"1","1","4","1","1","4","2",23,"2","1","1","3","1","2","1"
"1","3",9,"3","4",2134,"1","2","4","3","1","4","3",48,"2","2","2","3","1","2","1"
"1","3",30,"3","3",5771,"1","3","4","1","1","2","3",25,"2","2","2","3","1","1","1"
"1","3",24,"3","4",4526,"1","2","3","3","1","2","1",74,"2","2","1","4","1","2","1"
"1","3",15,"3","2",2788,"1","3","2","1","2","3","3",24,"1","2","2","3","1","1","1"
"1","3",6,"3","3",1382,"1","2","1","1","1","1","3",28,"2","2","2","3","1","2","1"
"1","3",36,"2","3",5848,"1","2","4","3","1","1","3",24,"2","2","1","3","1","1","1"
"0","1",12,"2","4",1228,"1","2","4","1","1","2","1",24,"2","2","1","2","1","1","1"
"1","3",12,"2","3",1297,"1","2","3","4","1","4","1",23,"2","1","1","3","1","1","1"
"1","3",24,"2","3",1552,"1","3","3","3","1","1","3",32,"1","2","1","3","2","1","1"
"1","3",12,"2","3",1963,"1","3","4","3","1","2","3",31,"2","1","2","4","2","2","1"
"1","3",24,"2","3",3235,"3","4","3","1","1","2","3",36,"2","2","1","4","1","2","1"
"1","3",24,"3","4",4139,"2","2","3","3","1","3","2",27,"2","2","2","2","1","2","1"
"1","2",12,"3","1",1804,"2","1","3","3","1","4","2",44,"2","2","1","3","1","1","1"
"1","3",18,"2","4",1950,"1","3","4","3","1","1","3",34,"1","2","2","3","1","2","1"
"1","3",48,"3","3",12749,"3","3","4","3","1","1","3",37,"2","2","1","4","1","2","1"
"1","3",9,"2","3",1236,"1","1","1","1","1","4","1",23,"2","1","1","3","1","2","1"
"1","3",18,"3","4",1055,"1","1","4","1","1","1","2",30,"2","2","2","3","1","1","1"
"1","1",30,"1","4",8072,"4","1","2","3","1","3","3",25,"1","2","2","3","1","1","1"
"1","3",30,"3","3",2831,"1","2","4","1","1","2","3",33,"2","2","1","3","1","2","1"
"1","3",9,"2","4",1449,"1","3","3","1","1","2","3",27,"2","2","2","3","1","1","1"
"1","3",36,"2","4",5742,"2","3","2","3","1","2","3",31,"2","2","2","3","1","2","1"
"1","3",12,"2","4",2390,"4","4","4","3","1","3","3",50,"2","2","1","3","1","2","1"
"1","3",24,"2","3",3430,"3","4","3","3","1","2","3",31,"2","2","1","3","2","2","1"
"1","2",36,"2","3",2273,"1","3","3","3","1","1","3",32,"2","2","2","3","2","1","1"
"1","3",21,"2","4",2923,"2","2","1","1","1","1","3",28,"1","2","1","4","1","2","1"
"1","3",24,"2","3",1901,"2","2","4","3","1","4","3",29,"2","1","1","4","1","2","1"
"1","2",36,"2","3",3711,"4","2","2","4","1","2","3",27,"2","2","1","3","1","1","1"
"1","2",48,"2","4",8487,"4","3","1","1","1","2","3",24,"2","2","1","3","1","1","1"
"1","3",24,"2","4",2255,"4","1","4","3","1","1","2",54,"2","2","1","3","1","1","1"
"1","3",12,"2","3",1262,"1","2","3","3","1","2","3",25,"2","2","1","3","1","1","1"
"1","3",33,"3","1",7253,"1","3","3","3","1","2","3",35,"2","2","2","4","1","2","1"
"1","3",6,"3","4",6761,"1","3","1","3","1","3","4",45,"2","2","2","4","2","2","1"
"1","3",18,"3","2",1817,"1","2","4","1","1","2","4",28,"2","2","2","3","1","1","1"
"1","3",12,"2","3",2141,"2","3","3","3","1","1","4",35,"2","2","1","3","1","1","1"
"1","3",48,"1","4",3609,"1","2","1","1","1","1","1",27,"1","2","1","3","1","1","1"
"1","3",30,"2","3",2333,"3","4","4","3","1","2","3",30,"1","2","1","4","1","1","1"
"1","3",28,"1","1",7824,"4","1","3","3","2","4","1",40,"1","1","2","3","2","2","1"
"1","3",18,"1","3",1445,"4","3","4","3","1","4","3",49,"1","2","1","2","1","1","1"
"1","1",24,"2","2",7721,"4","1","1","1","1","2","2",30,"2","2","1","3","1","2","2"
"1","1",21,"2","4",3763,"4","3","2","3","2","2","1",24,"2","2","1","2","1","1","2"
"1","2",18,"2","4",4439,"1","4","1","3","2","1","1",33,"1","2","1","4","1","2","1"
"1","1",12,"2","3",1107,"1","2","2","3","1","2","1",20,"2","1","1","4","2","2","1"
"1","2",15,"2","3",1444,"4","1","4","3","1","1","2",23,"2","2","1","3","1","1","1"
"1","2",48,"1","4",12169,"4","1","4","3","2","4","4",36,"2","3","1","4","1","2","1"
"1","3",9,"2","3",2753,"2","4","3","3","2","4","3",35,"2","2","1","3","1","2","1"
"1","3",4,"2","4",1494,"4","1","1","3","1","2","1",29,"2","2","1","2","2","1","2"
"1","1",24,"1","2",2828,"3","2","4","3","1","4","1",22,"1","2","1","3","1","2","1"
"1","1",24,"1","2",2483,"3","2","4","3","1","4","1",22,"1","2","1","3","1","2","1"
"1","3",6,"3","4",1299,"1","2","1","3","1","1","1",74,"2","2","2","1","2","1","2"
"1","2",9,"2","4",1549,"4","1","4","3","1","2","1",35,"2","2","1","1","1","1","1"
"1","3",10,"2","4",3949,"1","1","1","3","2","1","2",37,"2","2","1","2","2","1","1"
"1","3",10,"2","1",2901,"4","1","1","1","1","4","1",31,"2","1","1","3","1","1","1"
"1","3",6,"2","4",709,"3","1","2","4","1","2","1",27,"2","2","1","1","1","1","2"
"1","1",47,"2","4",10722,"1","1","1","1","1","1","1",35,"2","2","1","2","1","2","1"
"1","3",10,"2","4",1287,"4","4","4","3","2","2","2",45,"2","2","1","2","1","1","2"
"1","1",18,"1","3",1940,"1","1","3","3","2","4","4",36,"1","3","1","4","1","2","1"
"1","3",30,"3","3",3656,"4","4","4","3","1","4","2",49,"1","2","2","2","1","1","1"
"1","3",24,"3","1",4679,"1","3","3","3","1","3","3",35,"2","2","2","2","1","2","1"
"1","3",27,"3","1",8613,"3","2","2","3","1","2","3",27,"2","2","2","3","1","1","1"
"1","1",18,"2","2",2659,"3","2","4","3","1","2","3",28,"2","2","1","3","1","1","1"
"1","3",24,"3","3",1516,"3","2","4","1","1","1","1",43,"2","2","2","2","1","1","1"
"1","1",18,"2","4",4380,"2","2","3","3","1","4","3",35,"2","2","1","2","2","2","1"
"1","3",14,"3","4",802,"1","2","4","3","1","2","3",27,"2","2","2","2","1","1","1"
"1","3",21,"2","4",1572,"3","4","4","1","1","4","1",36,"1","2","1","2","1","1","1"
"1","2",48,"1","4",3566,"2","3","4","3","1","2","3",30,"2","2","1","3","1","1","1"
"1","3",24,"2","3",1278,"1","4","4","3","1","1","1",36,"2","2","1","4","1","2","1"
"1","3",6,"1","3",426,"1","4","4","4","1","4","3",39,"2","2","1","2","1","1","1"
"1","3",39,"2","1",8588,"2","4","4","3","1","2","3",45,"2","2","1","4","1","2","1"
"1","1",30,"2","1",3857,"1","2","4","1","1","4","2",40,"2","2","1","4","1","2","1"
"0","2",12,"2","4",685,"1","3","2","4","1","3","3",25,"1","2","1","2","1","1","1"
"1","1",24,"2","3",1603,"1","4","4","1","1","4","3",55,"2","2","1","3","1","1","1"
"1","3",21,"2","2",2241,"1","4","4","3","1","2","1",50,"2","2","2","3","1","1","1"
"1","1",24,"2","3",2384,"1","4","4","3","1","4","1",64,"1","1","1","2","1","1","1"
"1","3",4,"2","2",601,"1","1","1","1","1","3","1",23,"2","1","1","2","2","1","1"
"1","3",39,"2","1",2569,"3","2","4","3","1","4","3",24,"2","2","1","3","1","1","1"
"1","3",15,"3","3",1316,"3","2","2","4","1","2","2",47,"2","2","2","2","1","1","1"
"1","3",60,"2","4",10366,"1","4","2","3","1","4","2",42,"2","2","1","4","1","2","1"
"1","3",18,"2","4",1568,"2","2","3","1","1","4","2",24,"2","1","1","2","1","1","1"
"1","3",18,"3","3",629,"3","4","4","3","1","3","2",32,"1","2","2","4","1","2","1"
"1","3",6,"1","3",1750,"3","4","2","3","1","4","2",45,"1","2","1","2","2","1","1"
"1","3",24,"2","1",3488,"2","3","3","1","1","4","3",23,"2","2","1","3","1","1","1"
"1","3",18,"3","3",1800,"1","2","4","3","1","2","3",24,"2","2","2","3","1","1","1"
"1","3",24,"3","2",4151,"2","2","2","3","1","3","2",35,"2","2","2","3","1","1","1"
"1","2",15,"2","3",2631,"2","2","3","1","1","2","1",25,"2","2","1","2","1","1","1"
"1","3",21,"2","1",5248,"4","2","1","3","1","3","3",26,"2","2","1","3","1","1","1"
"1","2",18,"3","4",2899,"4","4","4","3","1","4","3",43,"2","2","1","3","2","1","1"
"1","2",18,"3","3",6204,"1","2","2","3","1","4","1",44,"2","2","1","2","2","2","1"
"1","3",12,"2","3",804,"1","4","4","3","1","4","3",38,"2","2","1","3","1","1","1"
"1","3",36,"2","3",3595,"1","4","4","3","1","2","3",28,"2","2","1","3","1","1","1"
"1","3",36,"3","1",5711,"3","4","4","3","1","2","3",38,"2","2","2","4","1","2","1"
"1","3",15,"2","4",2687,"1","3","2","3","1","4","2",26,"2","1","1","3","1","2","1"
"1","1",15,"3","2",3643,"1","4","1","1","1","4","2",27,"2","2","2","2","1","1","1"
"1","3",10,"3","2",2146,"1","1","1","1","1","3","1",23,"2","1","2","3","1","1","1"
"1","1",10,"2","3",2315,"1","4","3","3","1","4","1",52,"2","2","1","2","1","1","1"
"1","3",5,"2","4",3448,"1","3","1","3","1","4","1",74,"2","2","1","2","1","1","1"
"1","3",15,"2","2",2708,"1","1","2","3","1","3","2",27,"1","2","2","2","1","1","1"
"1","3",11,"3","4",1393,"1","1","4","1","1","4","3",35,"2","2","2","4","1","1","1"
"1","3",10,"2","2",1275,"1","1","4","1","1","2","2",23,"2","2","1","3","1","1","1"
"1","3",9,"2","2",1313,"1","4","1","3","1","4","3",20,"2","2","1","3","1","1","1"
"1","3",12,"2","3",1493,"1","1","4","1","1","3","3",34,"2","2","1","3","2","1","1"
"1","3",22,"2","3",2675,"3","4","3","3","1","4","3",40,"2","2","1","3","1","1","1"
"1","2",9,"2","3",2118,"1","2","2","3","1","2","1",37,"2","2","1","2","2","1","1"
"1","3",36,"2","4",909,"3","4","4","3","1","4","2",36,"2","2","1","3","1","1","1"
"1","3",12,"3","2",1258,"1","1","2","1","1","4","2",22,"2","1","2","2","1","1","1"
"1","3",15,"1","3",1569,"2","4","4","3","1","4","3",34,"1","2","1","2","2","1","1"
"1","3",6,"2","1",1236,"3","2","2","3","1","4","2",50,"2","1","1","3","1","1","1"
"1","3",36,"3","2",7678,"3","3","2","1","1","4","3",40,"2","2","2","3","1","2","1"
"1","3",6,"2","3",660,"3","3","2","4","1","4","1",23,"2","1","1","2","1","1","1"
"1","3",24,"2","2",2835,"3","4","3","3","1","4","2",53,"2","2","1","3","1","1","1"
"1","3",24,"2","1",2670,"1","4","4","3","1","4","3",35,"2","2","1","4","1","2","1"
"1","3",12,"1","4",3447,"3","2","4","1","1","3","1",35,"2","2","1","2","2","1","1"
"1","3",15,"2","3",3568,"1","4","4","1","1","2","3",54,"1","1","1","4","1","2","1"
"1","2",21,"3","4",3652,"1","3","2","3","1","3","2",27,"2","2","2","3","1","1","1"
"1","1",24,"2","3",3660,"1","2","2","1","1","4","3",28,"2","2","1","3","1","1","1"
"1","3",9,"2","3",1126,"2","4","2","1","1","4","1",49,"2","2","1","3","1","1","1"
"1","3",6,"3","3",683,"1","1","2","1","1","1","2",29,"1","2","1","3","1","1","1"
"1","3",12,"2","2",2251,"1","2","1","1","1","2","3",46,"2","2","1","2","1","1","1"
"1","3",12,"2","1",4675,"4","1","1","1","1","4","3",20,"2","1","1","3","1","1","1"
"1","2",21,"3","4",2353,"1","2","1","1","1","4","2",47,"2","2","2","3","1","1","1"
"1","1",21,"2","3",3357,"3","1","4","1","1","2","3",29,"1","2","1","3","1","1","1"
"1","3",6,"2","4",672,"1","1","1","1","1","4","1",54,"2","2","1","1","1","2","1"
"1","1",6,"3","3",338,"3","4","4","3","1","4","3",52,"2","2","2","3","1","1","1"
