날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2022-02-25,9708,8891,14581,19342,23705,24597,24985,28732,18717,20059,33001,28117,18438,24315,27515,34398,27521,15579,26796,26527,33471,26776,37948,44487,31951
2022-02-24,9229,8477,13869,18226,22442,23400,23702,27269,17659,19132,31037,26841,17320,22974,25977,32573,26207,14902,25531,25140,31759,25057,35761,42121,30158
2022-02-23,8736,8023,13164,17046,21142,22163,22291,25689,16680,18173,29496,25075,16383,21681,24145,29958,24771,13963,24233,23678,30020,23629,33771,39784,28344
2022-02-22,8228,7553,12269,15644,19805,20856,20755,23998,15605,17219,27673,23063,15198,20200,22435,27510,23402,13187,22738,22085,28034,21923,31505,36672,26277
2022-02-21,8025,7305,12001,14913,19077,20142,19986,23108,15064,16486,26678,21983,14649,19445,21332,25819,22576,12726,21841,21480,27295,21085,30010,35199,25451
2022-02-20,7716,7088,11543,14190,18353,19502,19288,22296,14500,15836,25558,21494,14127,18674,20545,24446,21833,12332,21178,20513,26633,20277,28902,33472,24441
2022-02-19,7407,6854,11135,13382,17435,18615,18327,21369,13799,15051,24291,20751,13709,17732,19811,23501,20975,11654,20499,19681,25361,19571,27797,32059,23141
2022-02-18,7200,6571,10735,12612,16591,17853,17494,20389,13127,14331,22790,19871,13181,16848,18778,21900,20109,11154,19632,18720,24160,18632,26620,30565,22047
2022-02-17,6850,6313,10242,11930,15729,17051,16477,19294,12496,13385,21275,18775,12470,15877,17803,20472,19077,10557,18534,17692,22809,17646,25413,28864,20800
2022-02-16,6604,6092,9837,11126,14865,16313,15861,18353,11901,12772,20348,18077,11843,15164,17037,19729,18391,10154,17909,16828,21705,16862,24244,27646,19736
2022-02-15,6377,5913,9497,10487,14122,15542,15074,17436,11269,12206,19402,17370,11287,14405,16223,19187,17510,9877,17233,16075,20776,16098,23204,26290,18556
2022-02-14,6195,5777,9279,10171,13669,15097,14659,16970,10920,11791,18581,16651,10818,14021,15606,18394,17113,9547,16808,15670,20391,15658,22385,25608,18028
2022-02-13,6099,5686,9023,9835,13192,14752,14342,16512,10581,11465,17428,16239,10558,13607,15115,17711,16692,9282,16425,15250,19801,15272,21753,24882,17440
2022-02-12,5915,5575,8775,9427,12744,14377,13820,15896,10274,11105,16972,15786,10360,13128,14581,17055,16209,9052,16068,14815,19206,14842,21006,24082,16776
2022-02-11,5700,5455,8535,9190,12325,13906,13332,15359,10019,10704,16428,15093,9958,12638,14097,16063,15720,8755,15666,14312,18510,14332,20089,23344,16087
2022-02-10,5538,5350,8294,9021,11886,13504,12863,14833,9673,10307,15912,14528,9610,12265,13622,15505,15319,8447,15211,13929,17555,13845,19538,22650,15444
2022-02-09,5446,5244,8077,8689,11429,13164,12576,14351,9438,9980,15209,13970,9175,11836,13140,14614,14852,8210,14765,13516,16889,13427,18697,21953,14720
2022-02-08,5303,5032,7831,8453,11048,12804,12040,13746,9200,9632,14251,13270,8914,11435,12665,14293,14409,7947,14372,13061,16600,12999,17873,20905,14246
2022-02-07,5246,5017,7709,8351,10747,12579,11793,13451,8981,9415,14004,12975,8682,11183,12385,14125,14180,7839,14131,12785,16430,12778,17405,20681,13883
2022-02-06,5169,4923,7562,8298,10461,12362,11484,13162,8768,9193,13780,12703,8537,10926,11984,13809,13944,7684,13855,12445,16053,12463,17239,19986,13497
2022-02-05,5063,4826,7411,7988,10139,12081,11181,12897,8545,8936,13403,12389,8353,10718,11612,13623,13675,7525,13533,12056,15690,12066,17001,19272,13018
2022-02-04,4957,4737,7252,7761,9857,11807,10942,12511,8342,8692,12904,12004,8183,10382,11253,13318,13334,7328,13237,11576,15102,11588,16741,18588,12584
2022-02-03,4887,4627,7078,7602,9634,11623,10732,12177,8200,8478,12688,11819,8004,10146,10924,13085,13117,7142,13003,11354,14941,11183,16541,18115,12122
2022-02-02,4811,4555,6923,7453,9421,11463,10522,11917,8033,8273,12471,11674,7893,9924,10636,12936,12952,7094,12780,11098,14701,10970,16348,17692,11815
2022-02-01,4768,4493,6794,7248,9229,11365,10419,11795,7912,8125,12373,11569,7760,9726,10415,12808,12792,6959,12597,10934,14418,10800,16198,17304,11596
2022-01-31,4727,4439,6698,7140,9059,11227,10256,11557,7805,8019,12176,11445,7655,9580,10218,12613,12652,6854,12456,10764,14233,10685,15912,17022,11383
2022-01-30,4668,4404,6597,7021,8872,11096,10129,11410,7720,7929,11957,11346,7565,9410,10009,12397,12513,6779,12302,10582,13927,10499,15657,16716,11169
2022-01-29,4615,4348,6499,6898,8713,10958,9982,11243,7638,7808,11763,11149,7442,9248,9817,12186,12362,6715,12147,10388,13722,10312,15454,16429,10960
2022-01-28,4562,4284,6387,6799,8569,10834,9837,11085,7538,7688,11552,11001,7328,9065,9622,11944,12205,6652,11982,10242,13466,10092,15206,16160,10768
2022-01-27,4510,4235,6277,6675,8389,10654,9718,10917,7465,7573,11380,10869,7208,8906,9406,11836,12065,6576,11823,10048,13261,9900,14949,15871,10602
2022-01-26,4460,4196,6197,6578,8258,10546,9588,10769,7386,7489,11224,10745,7108,8751,9250,11715,11948,6508,11694,9887,13038,9728,14732,15622,10467
2022-01-25,4424,4162,6108,6490,8119,10473,9454,10605,7335,7426,11031,10628,6997,8608,9101,11658,11847,6447,11567,9742,12802,9600,14513,15446,10337
2022-01-24,4397,4129,6072,6440,7998,10448,9408,10529,7303,7413,10907,10590,6963,8563,9033,11571,11803,6432,11484,9675,12706,9515,14348,15330,10279
2022-01-23,4358,4111,6026,6389,7922,10394,9369,10478,7275,7366,10853,10540,6895,8497,8966,11503,11757,6396,11427,9604,12594,9444,14208,15219,10208
2022-01-22,4338,4093,5976,6330,7836,10335,9324,10422,7243,7326,10779,10471,6838,8438,8902,11421,11685,6362,11376,9545,12488,9363,14079,15122,10144
2022-01-21,4313,4054,5932,6291,7764,10268,9280,10377,7222,7299,10694,10405,6785,8376,8837,11348,11643,6333,11315,9485,12385,9292,13962,15026,10085
2022-01-20,4296,4030,5896,6242,7699,10211,9242,10309,7201,7274,10614,10361,6759,8321,8776,11263,11579,6290,11256,9437,12293,9208,13853,14945,10037
2022-01-19,4277,4006,5862,6200,7661,10163,9196,10255,7173,7232,10539,10315,6717,8266,8719,11218,11522,6258,11210,9386,12209,9160,13754,14853,9997
2022-01-18,4260,3990,5819,6172,7628,10116,9164,10209,7148,7203,10489,10273,6702,8224,8680,11176,11475,6231,11144,9340,12139,9113,13659,14774,9960
2022-01-17,4250,3980,5794,6156,7589,10102,9150,10178,7137,7185,10446,10249,6677,8202,8652,11140,11443,6212,11120,9308,12091,9076,13599,14726,9938
2022-01-16,4237,3963,5762,6142,7567,10076,9133,10146,7111,7164,10419,10229,6649,8171,8615,11093,11416,6187,11093,9288,12057,9034,13543,14679,9916
2022-01-15,4232,3950,5730,6116,7535,10046,9101,10096,7097,7142,10376,10207,6600,8133,8581,11033,11377,6159,11061,9259,11997,9002,13488,14606,9900
2022-01-14,4215,3929,5696,6086,7500,10006,9063,10070,7078,7119,10340,10182,6554,8088,8550,10993,11348,6138,11031,9233,11943,8965,13427,14553,9879
2022-01-13,4206,3909,5666,6059,7461,9962,9029,10033,7046,7087,10305,10153,6534,8053,8520,10962,11316,6117,10995,9205,11896,8902,13374,14501,9842
2022-01-12,4188,3897,5638,6027,7474,9928,8996,9996,7027,7098,10265,10124,6507,8021,8490,10932,11258,6105,10955,9171,11832,8859,13293,14435,9805
2022-01-11,4179,3890,5592,6008,7429,9883,8963,9955,7011,7073,10238,10086,6424,7968,8464,10887,11207,6086,10915,9137,11762,8797,13193,14363,9759
2022-01-10,4158,3880,5570,5998,7404,9848,8933,9923,6990,7053,10203,10062,6409,7941,8431,10855,11166,6073,10895,9116,11730,8753,13121,14322,9741
2022-01-09,4144,3863,5547,5977,7375,9805,8906,9883,6973,7034,10175,10033,6401,7915,8406,10822,11121,6052,10882,9092,11694,8720,13072,14267,9709
2022-01-08,4124,3846,5515,5960,7342,9759,8873,9856,6946,7010,10128,9996,6372,7875,8370,10793,11069,6028,10849,9066,11653,8680,13023,14199,9661
2022-01-07,4096,3830,5491,5930,7301,9720,8832,9815,6925,6968,10077,9970,6342,7837,8341,10741,11023,6003,10824,9032,11601,8639,12955,14150,9618
2022-01-06,4072,3807,5455,5900,7267,9684,8796,9776,6907,6937,10033,9932,6321,7800,8298,10713,10972,5983,10777,8988,11559,8590,12881,14089,9578
2022-01-05,4056,3784,5427,5867,7216,9630,8740,9737,6877,6905,9973,9889,6286,7769,8247,10665,10910,5953,10719,8956,11502,8543,12806,14012,9521
2022-01-04,4035,3764,5388,5829,7164,9564,8669,9675,6844,6861,9926,9826,6250,7724,8165,10618,10837,5917,10673,8919,11453,8489,12706,13933,9463
2022-01-03,4022,3747,5365,5809,7136,9532,8624,9627,6807,6832,9879,9797,6222,7690,8128,10579,10799,5893,10645,8884,11406,8457,12649,13873,9414
2022-01-02,4010,3726,5346,5775,7109,9494,8582,9592,6784,6799,9820,9765,6185,7654,8082,10547,10769,5868,10610,8864,11371,8416,12585,13812,9369
2022-01-01,3993,3700,5311,5748,7076,9459,8534,9544,6739,6763,9756,9712,6161,7609,8034,10506,10699,5835,10559,8829,11313,8370,12528,13730,9311
2021-12-31,3973,3671,5274,5707,7042,9385,8476,9488,6695,6718,9669,9663,6110,7570,7965,10436,10620,5795,10507,8791,11265,8311,12452,13634,9229
2021-12-30,3949,3649,5236,5664,6981,9313,8408,9417,6637,6662,9578,9602,6066,7514,7891,10360,10558,5755,10429,8739,11196,8260,12366,13525,9123
2021-12-29,3921,3626,5203,5611,6919,9250,8344,9331,6560,6608,9491,9535,6023,7464,7843,10294,10476,5715,10353,8674,11120,8191,12282,13405,9031
2021-12-28,3878,3593,5167,5569,6870,9152,8275,9249,6494,6556,9411,9428,5971,7409,7766,10192,10390,5661,10266,8601,11043,8120,12215,13319,8940
2021-12-27,3838,3570,5139,5530,6819,9091,8236,9142,6450,6501,9321,9393,5946,7371,7714,10150,10346,5636,10224,8560,10992,8087,12148,13237,8883
2021-12-26,3808,3542,5108,5503,6776,9030,8164,9031,6391,6461,9227,9315,5902,7318,7659,10091,10316,5599,10182,8510,10915,8031,12079,13121,8826
2021-12-25,3777,3504,5074,5464,6733,8947,8093,8920,6327,6400,9122,9245,5848,7237,7580,10007,10246,5548,10100,8434,10830,7965,11996,12974,8756
2021-12-24,3728,3478,5042,5408,6674,8875,8030,8841,6260,6328,8992,9144,5789,7155,7464,9918,10154,5507,10000,8346,10749,7881,11892,12847,8679
2021-12-23,3681,3435,4989,5367,6605,8778,7963,8731,6167,6248,8886,9058,5707,7085,7346,9792,10073,5465,9906,8247,10647,7790,11777,12658,8593
2021-12-22,3632,3388,4932,5293,6518,8666,7879,8607,6076,6158,8737,8923,5625,6986,7236,9661,9973,5419,9778,8156,10516,7703,11636,12491,8491
2021-12-21,3592,3357,4862,5225,6445,8548,7768,8545,5996,6047,8567,8763,5551,6878,7144,9528,9841,5358,9655,8054,10391,7594,11500,12346,8361
2021-12-20,3547,3331,4816,5182,6381,8464,7693,8456,5915,5976,8417,8613,5493,6834,7089,9434,9789,5315,9596,7960,10292,7533,11380,12244,8280
2021-12-19,3521,3336,4781,5142,6317,8362,7626,8353,5836,5915,8305,8538,5436,6758,7035,9354,9731,5263,9532,7887,10189,7464,11285,12091,8199
2021-12-18,3485,3308,4728,5083,6254,8247,7527,8260,5773,5827,8237,8439,5386,6692,6959,9244,9634,5201,9427,7801,10093,7363,11153,12026,8090
2021-12-17,3437,3272,4675,5003,6152,8134,7430,8134,5679,5702,8099,8306,5296,6613,6855,9106,9523,5120,9316,7705,9960,7243,11027,11843,8002
2021-12-16,3390,3243,4620,4925,6092,7972,7308,8039,5577,5614,7979,8178,5200,6535,6747,8952,9393,5029,9191,7604,9821,7154,10881,11663,7900
2021-12-15,3349,3199,4550,4856,6011,7825,7167,7887,5497,5522,7844,8055,5112,6444,6639,8768,9252,4959,9080,7518,9674,7044,10719,11540,7765
2021-12-14,3310,3150,4489,4783,5939,7692,7018,7764,5406,5403,7682,7946,5001,6338,6523,8586,9088,4851,8949,7393,9497,6929,10591,11288,7627
2021-12-13,3298,3140,4451,4719,5889,7543,6926,7664,5297,5335,7634,7849,4892,6274,6446,8495,9037,4796,8876,7347,9417,6847,10506,11109,7555
2021-12-12,3232,3111,4399,4665,5826,7431,6815,7504,5209,5251,7529,7721,4817,6202,6341,8376,8932,4735,8778,7273,9300,6750,10356,10934,7479
2021-12-11,3189,3068,4349,4621,5761,7327,6699,7427,5137,5151,7413,7641,4763,6126,6236,8259,8778,4662,8667,7187,9167,6645,10250,10818,7370
2021-12-10,3154,3026,4299,4562,5670,7188,6596,7327,5079,5047,7295,7542,4706,6044,6139,8113,8673,4589,8533,7089,9055,6544,10126,10616,7240
2021-12-09,3106,2992,4255,4495,5589,7032,6438,7182,5004,4942,7171,7438,4607,5963,6031,7978,8560,4490,8394,6997,8929,6439,9989,10482,7099
2021-12-08,3089,2959,4196,4461,5525,6921,6346,7084,4958,4846,7058,7274,4573,5882,5927,7836,8445,4402,8276,6892,8793,6337,9840,10347,6996
2021-12-07,3045,2900,4142,4392,5424,6768,6241,6966,4872,4740,6940,7156,4502,5789,5814,7687,8311,4309,8142,6779,8636,6229,9706,10166,6864
2021-12-06,2988,2868,4092,4337,5370,6660,6145,6892,4749,4656,6777,7037,4414,5725,5756,7590,8253,4276,8064,6707,8557,6168,9607,10029,6820
2021-12-05,2977,2841,4067,4317,5313,6626,6061,6814,4739,4591,6720,7000,4375,5659,5675,7509,8201,4239,7991,6644,8473,6121,9549,9947,6763
2021-12-04,2950,2808,4019,4280,5246,6525,5969,6724,4667,4534,6649,6946,4298,5599,5603,7395,8092,4185,7880,6554,8369,6067,9460,9818,6660
2021-12-03,2884,2779,3971,4246,5171,6443,5864,6637,4613,4442,6553,6856,4239,5526,5501,7281,8004,4125,7769,6461,8237,5997,9365,9698,6576
2021-12-02,2850,2757,3919,4203,5096,6327,5777,6509,4540,4358,6475,6748,4167,5456,5416,7141,7943,4037,7645,6367,8135,5928,9295,9586,6483
2021-12-01,2783,2684,3851,4149,5006,6198,5685,6372,4456,4270,6350,6587,4077,5345,5326,6957,7813,3922,7514,6262,8014,5860,9188,9431,6353
2021-11-30,2773,2680,3796,4116,4970,6132,5613,6349,4436,4226,6329,6558,4058,5292,5245,6941,7742,3904,7448,6201,7994,5822,9129,9382,6310
2021-11-29,2734,2651,3765,4075,4920,6092,5567,6300,4377,4183,6238,6497,4027,5252,5194,6894,7695,3876,7386,6161,7949,5783,9087,9336,6282
2021-11-28,2701,2628,3728,4053,4880,6039,5520,6249,4318,4145,6194,6439,3974,5203,5136,6818,7630,3826,7315,6084,7870,5719,9044,9263,6240
2021-11-27,2668,2599,3703,4016,4830,5951,5441,6193,4263,4088,6131,6379,3923,5154,5044,6740,7525,3788,7235,5984,7802,5672,9002,9183,6188
2021-11-26,2638,2561,3642,3981,4778,5850,5363,6127,4202,4053,6050,6281,3876,5105,4970,6641,7419,3730,7153,5878,7739,5629,8938,9105,6113
2021-11-25,2618,2527,3597,3955,4724,5776,5297,6052,4150,4037,5993,6179,3824,5058,4897,6557,7320,3679,7077,5768,7663,5608,8893,9015,6034
2021-11-24,2568,2500,3564,3920,4674,5705,5230,5979,4071,3998,5926,6113,3786,5005,4798,6471,7237,3595,6980,5667,7581,5566,8844,8912,5967
2021-11-23,2555,2475,3535,3899,4627,5630,5174,5906,4020,3951,5853,6020,3722,4953,4707,6380,7142,3530,6883,5578,7486,5522,8790,8792,5899
2021-11-22,2531,2455,3525,3862,4587,5596,5124,5837,3968,3908,5797,5975,3694,4920,4658,6302,7086,3501,6842,5523,7448,5479,8745,8735,5850
2021-11-21,2509,2441,3503,3833,4556,5545,5064,5766,3917,3871,5739,5933,3657,4879,4599,6238,7021,3463,6766,5471,7390,5446,8699,8658,5784
2021-11-20,2481,2424,3478,3792,4511,5494,5024,5693,3876,3848,5667,5878,3629,4842,4532,6164,6955,3432,6697,5412,7327,5403,8647,8576,5721
2021-11-19,2449,2402,3452,3749,4483,5435,4977,5628,3830,3791,5619,5822,3598,4809,4482,6091,6885,3371,6616,5361,7263,5345,8589,8508,5669
2021-11-18,2424,2368,3431,3721,4442,5362,4935,5538,3788,3731,5568,5761,3566,4766,4440,6011,6830,3316,6519,5314,7204,5315,8528,8430,5618
2021-11-17,2400,2350,3412,3688,4405,5294,4890,5444,3754,3675,5503,5695,3524,4726,4391,5940,6739,3269,6440,5269,7137,5256,8471,8341,5570
2021-11-16,2365,2336,3388,3660,4371,5212,4834,5359,3719,3602,5437,5646,3484,4681,4322,5890,6651,3225,6376,5221,7057,5215,8425,8266,5500
2021-11-15,2352,2322,3378,3622,4348,5155,4797,5295,3694,3567,5411,5626,3465,4652,4297,5849,6593,3202,6312,5202,7019,5190,8388,8231,5469
2021-11-14,2337,2308,3360,3599,4329,5111,4768,5240,3679,3541,5369,5596,3455,4631,4263,5806,6555,3183,6256,5171,6987,5163,8346,8180,5391
2021-11-13,2320,2289,3352,3573,4313,5069,4745,5189,3655,3520,5320,5547,3431,4605,4233,5764,6491,3154,6200,5143,6938,5132,8314,8128,5336
2021-11-12,2295,2273,3339,3547,4294,5018,4724,5145,3624,3489,5265,5489,3396,4585,4199,5713,6431,3123,6156,5118,6860,5098,8275,8081,5284
2021-11-11,2282,2257,3320,3529,4269,4987,4693,5095,3598,3447,5224,5438,3367,4563,4163,5646,6390,3102,6092,5090,6801,5076,8243,8029,5234
2021-11-10,2269,2239,3304,3504,4242,4928,4666,5055,3570,3411,5140,5407,3342,4539,4133,5596,6337,3084,6028,5067,6742,5026,8213,7959,5184
2021-11-09,2247,2223,3285,3480,4221,4859,4626,5028,3545,3390,5095,5369,3322,4505,4096,5544,6272,3059,5971,5038,6691,5001,8174,7887,5134
2021-11-08,2240,2208,3275,3455,4208,4818,4602,5000,3525,3375,5063,5341,3310,4487,4060,5515,6241,3032,5930,5016,6656,4979,8133,7847,5107
2021-11-07,2234,2196,3265,3439,4184,4794,4574,4979,3503,3357,5027,5299,3291,4470,4040,5487,6192,3013,5881,4997,6614,4953,8102,7802,5073
2021-11-06,2222,2187,3253,3420,4160,4752,4547,4941,3485,3326,4982,5255,3279,4453,4009,5451,6158,2965,5832,4980,6559,4925,8068,7744,5020
2021-11-05,2210,2169,3238,3396,4139,4712,4519,4906,3456,3286,4936,5202,3260,4439,3979,5405,6092,2925,5783,4952,6502,4887,8043,7693,4980
2021-11-04,2195,2148,3220,3376,4119,4656,4496,4861,3429,3250,4887,5162,3242,4412,3950,5350,6022,2872,5718,4924,6454,4858,8019,7630,4951
2021-11-03,2181,2134,3202,3360,4093,4651,4465,4811,3400,3233,4834,5116,3222,4390,3921,5305,5958,2835,5654,4893,6399,4837,7989,7568,4911
2021-11-02,2164,2122,3187,3335,4073,4606,4438,4756,3358,3216,4803,5070,3190,4362,3891,5247,5883,2805,5582,4858,6334,4812,7956,7512,4856
2021-11-01,2161,2114,3176,3321,4059,4585,4420,4695,3330,3197,4786,5054,3172,4341,3857,5232,5842,2786,5559,4840,6297,4795,7932,7481,4829
2021-10-31,2155,2095,3166,3316,4048,4548,4399,4651,3302,3178,4759,5038,3156,4323,3819,5208,5807,2767,5516,4820,6262,4774,7911,7435,4791
2021-10-30,2143,2076,3149,3301,4032,4508,4380,4599,3273,3167,4724,5018,3143,4302,3794,5179,5739,2751,5467,4788,6218,4758,7886,7384,4751
2021-10-29,2133,2058,3140,3285,4018,4451,4365,4563,3245,3143,4687,4998,3135,4279,3772,5142,5701,2733,5416,4764,6171,4742,7861,7345,4712
2021-10-28,2115,2043,3125,3258,3996,4404,4347,4533,3214,3102,4653,4978,3128,4253,3761,5112,5650,2703,5372,4744,6136,4719,7840,7297,4663
2021-10-27,2098,2030,3116,3238,3979,4352,4330,4506,3188,3063,4612,4965,3111,4234,3745,5091,5597,2669,5328,4723,6102,4702,7791,7236,4601
2021-10-26,2086,2018,3097,3220,3962,4325,4313,4469,3160,3032,4568,4934,3103,4218,3727,5069,5537,2650,5294,4698,6062,4670,7764,7195,4559
2021-10-25,2074,2017,3094,3205,3946,4310,4305,4444,3154,3020,4540,4925,3096,4207,3712,5043,5532,2647,5265,4682,6042,4651,7739,7178,4542
2021-10-24,2055,2012,3091,3197,3931,4294,4285,4421,3139,3001,4516,4915,3090,4200,3698,5022,5501,2634,5241,4670,6017,4628,7722,7145,4526
2021-10-23,2036,2004,3076,3179,3916,4272,4273,4399,3123,2987,4503,4903,3081,4191,3688,5001,5460,2608,5211,4654,5989,4607,7699,7107,4494
2021-10-22,2023,1989,3064,3173,3904,4248,4262,4372,3105,2979,4477,4887,3067,4176,3679,4970,5405,2568,5177,4638,5976,4588,7664,7094,4457
2021-10-21,2008,1983,3055,3159,3894,4218,4238,4351,3094,2968,4454,4866,3057,4164,3665,4949,5369,2554,5145,4609,5954,4573,7632,7070,4431
2021-10-20,1989,1968,3049,3151,3881,4197,4224,4324,3080,2955,4428,4845,3043,4157,3641,4935,5328,2540,5111,4581,5924,4556,7609,7047,4418
2021-10-19,1977,1959,3041,3138,3868,4177,4204,4307,3063,2945,4406,4827,3027,4134,3628,4917,5268,2526,5072,4557,5902,4545,7589,7028,4397
2021-10-18,1968,1960,3031,3132,3859,4165,4189,4294,3054,2938,4387,4818,3024,4127,3619,4901,5244,2512,5062,4535,5893,4541,7570,7015,4381
2021-10-17,1958,1956,3023,3119,3851,4155,4176,4269,3045,2928,4377,4809,3017,4121,3614,4888,5205,2494,5039,4523,5877,4536,7550,7001,4361
2021-10-16,1949,1949,3006,3102,3841,4137,4157,4249,3034,2915,4359,4781,3001,4112,3605,4866,5151,2477,5007,4502,5858,4530,7521,6983,4332
2021-10-15,1925,1938,2995,3087,3832,4117,4139,4218,3017,2907,4337,4750,2983,4102,3599,4855,5075,2454,4971,4480,5822,4521,7485,6952,4303
2021-10-14,1900,1930,2976,3072,3807,4073,4111,4188,2993,2891,4315,4717,2960,4082,3592,4840,4991,2421,4940,4460,5798,4511,7450,6923,4277
