height,weight,waistline
176.858,76.083,80.4554
175.218,75.268,79.9832
178.503,78.28,80.4555
177.448,78.768,80.3499
177.189,78.93,80.33
174.932,74.145,80.23859999999999
177.574,77.123,80.3212
173.487,71.216,79.7998
176.36,73.272,80.18260000000001
172.973,74.191,79.5745
177.211,76.844,80.52459999999999
173.509,73.444,79.9973
175.488,76.028,80.09389999999999
174.54,76.927,79.9299
175.079,76.207,80.31660000000001
174.702,74.529,80.1306
177.482,76.842,80.3686
172.735,75.806,79.90990000000001
175.521,77.241,79.8535
175.525,75.017,79.8793
174.54,76.927,79.9299
174.281,70.43,79.8083
177.448,78.768,80.3499
176.36,73.272,80.18260000000001
175.22,78.295,80.0657
175.566,76.459,80.2019
174.495,73.672,80.1747
177.82,79.13,80.3746
177.574,77.123,80.3212
174.556,72.071,79.94030000000001
175.699,74.308,80.01169999999999
172.247,75.078,79.8897
175.946,74.737,80.20230000000001
176.999,75.955,80.0795
176.68,75.534,80.2293
172.735,75.806,79.90990000000001
175.345,74.406,79.98920000000001
175.079,76.207,80.31660000000001
175.533,72.377,80.2831
174.526,74.787,79.937
177.211,76.844,80.52459999999999
175.946,80.719,80.20230000000001
176.326,76.037,80.2803
176.582,74.313,80.35170000000001
174.21,78.064,79.99080000000001
174.21,78.064,79.99080000000001
176.999,75.955,80.0795
173.487,71.216,79.7998
171.083,70.373,79.6803
175.218,75.268,79.9832
170.386,67.925,79.5722
177.482,76.842,80.3686
174.495,73.672,79.96000000000001
174.662,73.488,80.1163
174.556,72.071,79.94030000000001
174.702,74.529,80.1306
178.578,77.746,80.21130000000001
177.448,78.768,80.3499
177.683,79.723,80.25280000000001
172.247,71.308,79.8897
177.448,78.768,80.3499
174.495,73.672,80.1747
175.045,72.084,79.85
177.929,77.18,80.197
171.366,70.557,79.8179
172.473,72.204,79.8998
176.68,75.534,80.0121
175.079,76.207,80.31660000000001
174.661,75.159,80.2166
174.005,72.823,79.9662
177.229,76.756,80.5242
176.326,76.037,80.2803
178.503,78.28,80.4555
177.574,77.123,80.3212
174.606,72.983,80.1846
174.369,75.508,80.005
175.231,77.044,79.83709999999999
175.345,74.406,79.98920000000001
179.314,75.277,80.26180000000001
173.487,71.216,79.7998
175.034,73.93,80.3739
174.662,73.488,80.1163
174.21,78.064,79.99080000000001
172.735,75.806,79.90990000000001
175.521,77.241,79.8535
175.525,75.017,79.8793
177.189,78.93,80.33
176.02,75.061,80.54740000000001
176.341,76.204,80.1366
173.509,73.444,79.9973
177.029,74.833,80.1793
172.356,75.471,79.8514
175.488,76.028,80.09389999999999
174.648,72.635,79.9242
176.617,75.983,79.6794
173.711,72.648,79.8974
177.262,73.24,80.5086
177.368,76.784,80.1948
174.702,74.529,80.1306
173.509,73.444,79.9973
174.281,70.43,79.8083
175.533,72.377,80.2125
172.289,71.914,80.0172
176.562,75.099,80.1365
175.231,77.044,79.83709999999999
172.973,74.191,79.5745
173.509,72.119,79.9973
173.638,73.553,79.9212
179.748,80.36,80.83959999999999
174.702,74.529,80.1306
174.175,73.309,80.1123
174.314,71.646,79.9384
174.556,72.071,79.94030000000001
175.084,75.435,80.2073
177.82,79.13,80.3746
175.488,76.028,80.09389999999999
175.566,76.459,80.2019
180.508,80.338,80.3809
172.735,75.806,79.90990000000001
177.772,80.273,80.2544
176.36,73.272,80.18260000000001
176.999,75.955,80.0795
175.045,72.084,79.85
174.556,72.071,79.94030000000001
175.218,75.268,79.9832
172.336,71.764,79.9529
175.488,76.028,80.09389999999999
174.842,76.467,79.9281
177.574,77.123,80.3212
174.662,73.488,80.1163
176.36,73.272,80.18260000000001
174.067,70.598,79.9735
174.702,74.529,80.1306
175.521,77.241,79.8535
176.875,77.425,79.71000000000001
177.574,77.123,80.3212
173.42,72.361,79.8611
174.198,75.15,80.24629999999999
175.734,75.112,80.1045
174.107,74.345,80.1579
174.067,70.598,79.9735
178.122,78.704,80.0736
173.638,73.553,79.9212
174.396,72.102,79.37870000000001
174.495,73.672,80.1747
174.556,72.071,79.94030000000001
180.671,79.896,80.49600000000001
173.509,73.444,79.9973
177.01,79.434,80.26570000000001
176.999,75.955,80.0795
174.556,72.071,79.94030000000001
174.198,75.15,80.24629999999999
175.699,74.308,80.4645
172.944,73.177,80.0395
177.82,79.13,80.3746
177.574,77.123,80.3212
175.868,76.071,80.30199999999999
178.122,78.704,80.0736
173.813,74.844,80.2341
177.211,76.844,80.52459999999999
173.813,74.844,80.2341
179.691,79.339,80.55940000000001
175.034,73.93,80.3739
173.487,71.216,79.7998
173.198,74.027,80.03869999999999
178.578,78.12,80.21130000000001
173.638,73.553,79.9212
174.175,73.309,80.1123
177.82,79.13,80.41380000000001
174.175,73.309,80.1123
175.488,76.028,80.09389999999999
175.566,76.459,80.2019
175.488,76.028,80.09389999999999
174.662,73.488,80.1163
175.036,70.197,79.6729
175.218,75.268,79.9832
174.131,75.827,79.9225
172.244,70.712,79.6621
173.813,74.844,80.2341
174.556,72.071,79.94030000000001
177.82,79.13,80.41380000000001
178.151,80.448,80.2645
177.433,78.695,79.8823
175.345,74.406,79.98920000000001
172.22,70.685,79.7649
172.153,75.159,79.8815
175.345,74.406,79.98920000000001
176.965,76.57,80.1152
180.508,80.338,80.3809
172.244,70.712,79.6621
172.244,70.712,79.6621
176.68,75.534,80.2293
176.02,75.061,80.54740000000001
179.111,79.097,80.3635
177.211,76.844,80.52459999999999
174.771,74.646,79.7883
175.946,80.719,80.1121
172.473,72.204,79.8998
175.566,76.459,80.2019
176.476,73.982,80.3136
178.426,78.418,80.3998
175.422,76.474,80.18350000000001
174.54,76.927,79.9299
175.159,75.05,79.8296
173.509,73.444,79.9973
177.433,78.695,79.8823
174.58,77.241,80.0675
176.858,76.083,80.4554
175.488,76.028,80.09389999999999
175.382,73.26,80.15180000000001
177.475,77.553,80.4439
173.487,71.216,79.7998
174.702,74.529,80.1306
174.894,75.441,79.73060000000001
174.198,75.394,79.6554
173.509,72.119,79.9973
174.369,75.508,80.005
177.82,79.13,80.41380000000001
174.495,73.672,79.96000000000001
175.856,76.182,79.9299
173.509,73.444,79.9973
178.583,81.797,80.5702
172.244,70.712,79.6621
172.697,73.698,79.892
176.582,74.313,80.35170000000001
176.265,77.263,80.1529
174.495,73.672,80.1747
174.842,76.467,79.9281
176.338,72.983,80.5032
176.582,74.313,80.35170000000001
177.228,73.919,80.4434
175.654,76.149,80.2829
174.606,72.983,80.1846
177.448,78.768,80.3499
173.198,74.027,80.03869999999999
180.671,79.896,80.49600000000001
172.244,70.712,79.6621
173.122,73.933,80.2091
174.507,74.194,79.8211
175.488,76.028,80.09389999999999
173.638,73.553,79.9212
173.487,71.216,79.7998
174.107,74.345,80.1579
173.591,74.722,79.9033
170.474,68.294,80.0682
175.345,74.406,79.98920000000001
173.487,71.216,79.7998
172.289,71.914,80.0172
180.804,81.354,80.8794
176.582,74.313,80.35170000000001
174.369,75.508,80.005
176.098,75.884,80.1682
176.582,74.313,80.35170000000001
175.521,77.241,79.8535
177.448,78.768,80.3499
174.198,75.394,79.6554
177.683,79.723,80.25280000000001
177.368,76.784,80.1948
174.525,72.834,79.82939999999999
175.946,80.719,80.20230000000001
170.386,67.925,79.5722
174.582,76.658,79.7524
177.448,78.768,80.3499
177.683,79.723,80.25280000000001
174.526,74.787,79.937
171.054,72.174,79.955
173.392,72.441,79.5719
176.603,74.648,80.3571
174.507,74.194,79.8211
174.932,74.145,80.23859999999999
175.566,76.459,80.2019
174.495,73.672,80.1747
179.656,81.255,80.6649
176.858,76.083,80.45270000000001
179.289,77.817,80.2954
174.369,75.508,80.005
176.338,72.983,80.5032
174.702,74.529,80.1306
176.562,75.099,80.1365
177.211,76.844,80.52459999999999
174.556,72.071,79.94030000000001
174.707,74.715,80.0626
176.582,74.313,80.35170000000001
176.858,76.083,80.45270000000001
175.734,75.112,79.7778
172.336,71.764,79.9529
180.671,79.896,80.49600000000001
169.273,68.08,79.4985
175.681,77.917,80.02759999999999
176.875,77.425,79.71000000000001
174.495,73.672,79.96000000000001
175.946,80.719,80.20230000000001
177.82,79.13,80.3746
176.68,75.534,80.2293
176.562,75.099,80.1365
177.82,79.13,80.41380000000001
173.509,73.444,79.9973
170.99,71.61,79.1883
179.656,81.255,80.6649
174.067,70.598,79.9735
176.68,75.534,80.2293
176.999,75.955,80.0795
172.001,70.499,80.00019999999999
173.287,72.496,79.5299
175.218,75.268,79.9832
176.855,77.032,80.03529999999999
174.207,73.736,80.1779
174.702,74.529,80.1306
176.858,76.083,80.45270000000001
175.566,76.459,80.2019
177.076,74.667,79.9108
