school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade
1.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,3.0,5.0,6.0,8.0
1.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,7.0
1.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,14.0
1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,12.0,10.0
1.0,1.0,0.0,0.0,4.0,1.0,3.0,1.6,5.0,5.0,18.0,7.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,3.0,4.0,0.0,7.0
1.0,0.0,1.0,1.0,4.0,5.0,5.0,1.0,3.0,1.0,4.0,17.0
1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,6.0
1.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,10.0
1.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,6.0,13.0
1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,9.0
1.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,14.0
1.0,0.0,1.0,0.0,4.0,3.0,5.0,1.0,1.0,5.0,2.0,9.0
1.0,0.0,0.0,1.0,5.0,3.0,4.0,1.0,2.0,2.8,6.0,13.0
1.0,0.0,1.0,0.0,5.0,3.0,5.0,1.0,1.0,3.0,0.0,8.0
1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,14.0,6.0
1.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,0.0,17.0
1.0,1.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,5.0,4.0,12.0
1.0,0.0,1.0,0.0,4.0,3.0,5.0,1.0,1.0,2.0,26.0,6.0
1.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,0.0,17.0
1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,4.0,10.0,11.0
1.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,3.0,8.0,8.0
1.0,1.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,5.0,2.0,17.0
1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,6.0,12.0
1.0,0.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,15.0
1.0,1.0,0.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,6.0,19.0
1.0,0.0,0.0,1.0,4.0,3.4,2.0,1.0,1.0,2.0,0.0,9.0
1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,6.0,12.0
1.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,3.0,10.0,19.0
1.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,5.0,8.0,9.0
1.0,1.0,0.0,1.0,5.0,4.0,4.0,1.0,2.0,5.0,2.0,15.0
1.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,13.0
1.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,5.0,0.0,13.0
1.0,1.0,0.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,20.0,8.0
1.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,4.0,6.0,13.0
1.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,15.0
1.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,2.0,5.0,6.0,15.0
1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,13.0
1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,5.0,18.0,13.0
1.0,0.0,1.0,0.0,5.0,3.2,4.0,1.0,1.0,5.0,0.0,8.0
1.0,1.0,0.0,0.0,5.0,5.0,5.0,3.0,2.0,5.0,0.0,13.0
1.0,0.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,9.0
1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,5.0,2.0,8.0
1.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,0.0,4.0
1.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,4.0,8.0,18.0
1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,5.0,0.0,4.0
1.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,3.0
1.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,3.0,5.0,12.0,12.0
1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,5.0,16.0,11.0
1.0,1.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,5.0,0.0,3.0
1.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,0.0,4.0
1.0,1.0,0.0,0.0,5.0,4.0,5.0,2.0,4.0,5.0,0.0,3.0
1.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,1.0
1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,3.0,5.0,0.0,13.0
1.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,16.0
1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5.0
1.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,8.0,9.0
1.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.4,2.0,10.0
1.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,14.0
1.0,1.0,0.0,0.0,5.0,4.0,5.0,1.0,2.0,5.0,0.0,2.0
1.0,0.0,1.0,0.0,4.0,4.0,2.0,1.0,2.0,5.0,0.0,10.0
1.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,4.0
1.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11.0
1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,5.0,0.0,4.0
1.0,1.0,0.0,0.0,4.0,5.0,5.0,2.0,5.0,5.0,0.0,9.0
1.0,1.0,0.0,0.0,2.0,3.0,5.0,2.0,5.0,4.0,0.0,4.0
1.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,13.0
1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,8.0,10.0
1.0,1.0,0.0,0.0,4.0,5.0,4.0,1.0,1.0,4.0,0.0,2.0
1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,11.0
1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,9.0
1.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,5.0,8.0,14.0
1.0,0.0,0.0,1.0,5.0,2.0,5.0,1.0,5.0,4.0,6.0,9.0
1.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,16.0
1.0,1.0,1.0,0.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,11.0
1.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,0.0,4.0
1.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,3.0,6.0,7.0
1.0,1.0,0.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,0.0,2.0
1.0,1.0,0.0,0.0,5.0,3.0,3.0,1.0,4.0,2.0,2.0,10.0
1.0,1.0,0.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,0.0,7.0
1.0,1.0,0.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,16.0,12.0
1.0,1.0,0.0,0.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,10.0
1.0,0.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,3.0,0.0,15.0
1.0,0.0,1.0,0.0,5.0,1.0,5.0,1.0,1.0,4.0,0.0,4.0
1.0,0.0,1.0,0.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0,14.0
1.0,1.0,0.0,1.0,3.0,4.0,5.0,2.0,4.0,2.0,0.0,4.0
1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,15.0
1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,5.0,0.0,11.0
1.0,0.0,0.0,1.0,4.0,3.0,5.0,1.0,1.0,3.0,0.0,5.0
1.0,0.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,10.0
1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0
1.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,5.0,2.0,12.0
1.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,6.0
1.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,10.0,9.0
1.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,4.0,10.0
1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,10.0,8.0
1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,12.0
1.0,0.0,0.0,1.0,5.0,4.0,2.0,2.0,3.0,5.0,0.0,17.0
1.0,0.0,0.0,1.0,5.0,3.0,3.0,2.0,3.0,1.0,56.0,9.0
1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,14.0,12.0
1.0,1.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,12.0,12.0
1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,11.0
1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,5.0,0.0,15.0
1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,6.0,8.0
1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,5.0,3.0,4.0,9.0
1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,10.0,12.0
1.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,0.0,8.0
1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,12.0,8.0
1.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,4.0,5.0,8.0,9.0
1.0,1.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,3.0,0.0,14.0
1.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,15.0
1.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,2.0,5.0,4.0,16.0
1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,5.0,3.0,8.0,9.0
1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,2.0,24.0,18.0
1.0,0.0,1.0,0.0,4.0,5.0,2.0,1.0,2.0,3.0,0.0,9.0
1.0,0.0,0.0,1.0,4.0,3.0,5.0,1.0,5.0,2.0,2.0,16.0
1.0,0.0,1.0,1.0,4.0,4.0,3.2,1.0,3.0,4.0,6.0,9.0
1.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,9.0
1.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,2.0,3.0,18.0,6.0
1.0,0.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,5.0,6.0,10.0
1.0,0.0,1.0,0.0,4.0,4.0,3.0,3.0,4.0,5.0,28.0,9.0
1.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,7.0
1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,10.0,12.0
1.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,4.0,5.0,6.0,9.0
1.0,0.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,6.0,7.0
1.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,10.0,8.0
1.0,1.0,1.0,0.0,5.0,3.0,5.0,4.0,5.0,3.0,13.0,12.0
1.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,1.0,4.0,0.0,13.0
1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,15.0,7.0
1.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,2.0,3.0,12.0,9.0
1.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,15.0
1.0,0.0,1.0,0.0,3.0,4.0,5.0,2.0,4.0,1.0,22.0,5.0
1.0,1.0,1.0,0.0,3.0,2.0,4.0,2.0,4.0,4.0,13.0,7.0
1.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,7.0
1.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,10.0
1.0,0.0,0.0,1.0,4.0,2.0,5.0,1.0,2.0,5.0,2.0,6.0
1.0,0.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,5.0,0.0,4.0
1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,16.0
1.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,5.0,4.0,0.0,13.0
1.0,0.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,5.0,0.0,13.0
1.0,0.0,0.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0,8.0
1.0,0.0,0.0,1.0,5.0,3.0,4.0,1.0,3.0,3.0,10.0,15.0
1.0,1.0,1.0,0.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,12.0
1.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,5.0,3.0,14.0,9.0
1.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,10.0,11.0
1.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,14.0,13.0
1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0,11.0
1.0,1.0,0.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,14.0,10.0
1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,13.0
1.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,5.0,18.0,7.0
1.0,1.0,0.0,1.0,5.0,3.0,3.0,1.0,3.0,2.0,10.0,10.0
1.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,13.0
1.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,5.0,20.0,12.0
1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,12.0
1.0,1.0,0.0,0.0,5.0,5.0,4.0,3.0,5.0,2.0,0.0,5.0
1.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,4.0,5.0,14.0,12.0
1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,11.0
1.0,1.0,0.0,1.0,5.0,4.0,5.0,1.0,1.0,3.0,0.0,2.0
1.0,1.0,0.0,1.0,5.0,3.0,2.0,1.0,2.0,5.0,0.0,12.0
1.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0
1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,4.0,6.0,18.0
1.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,12.0
1.0,1.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,1.0,16.0,7.0
1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,3.0,5.0,8.0,4.0
1.0,1.0,1.0,0.0,4.0,3.0,2.0,2.0,4.0,5.0,0.0,14.0
1.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,4.0,5.0,0.0,7.0
1.0,1.0,0.0,0.0,5.0,3.0,3.0,1.0,3.0,2.0,6.0,9.0
1.0,1.0,0.0,0.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,8.0
1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,8.0
1.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,5.0,0.0,11.0
1.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,8.0
1.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,6.0,13.0
1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,12.0,11.0
1.0,1.0,0.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,8.0,14.0
1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,6.0
1.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,21.0,18.0
1.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0
1.0,1.0,0.0,1.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,12.0
1.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,9.0
1.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,6.0
1.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,13.0,17.0
1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,9.0
1.0,0.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,8.0,11.0
1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,3.0,5.0,10.0,10.0
1.0,0.0,0.0,0.0,4.0,3.0,5.0,1.0,2.0,3.0,0.0,2.0
1.0,0.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,5.0,15.0,9.0
1.0,0.0,1.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,4.0,14.0
1.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,11.0
1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,14.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,10.0
1.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,3.0,5.0,6.0,12.0
1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,5.0,75.0,9.0
1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,3.0,22.0,9.0
1.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,15.0,8.0
1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,8.0,10.0
1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,4.0,5.0,30.0,8.0
1.0,1.0,0.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,19.0,10.0
1.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,12.0
1.0,0.0,0.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,9.0
1.0,0.0,0.0,0.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,10.0
1.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,18.0
1.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,3.0,6.0,12.0
1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,6.0,14.0
1.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,9.0,14.0
