game_id,a1_1,a1_2,a2_1,a2_2,a3_1,a3_2,a4_1,a4_2,a5_1,a5_2,a6_1,a6_2,a7_1,a7_2,a8_1,a8_2,a9_1,a9_2,b1,b2,b3,b4,b5,b6,b7,b8,b9
201900304,4,7,5,6,5,5,7,1,5,4,5,6,4,5,5,5,7,5,2,0,0,2,1,0,1,0,0
201900339,5,5,5,7,5,7,5,5,4,5,2,1,5,5,5,1,5,5,0,0,0,0,3,0,0,0,0
201900345,5,5,7,7,7,1,5,7,4,5,7,4,5,5,5,4,7,5,0,3,0,0,1,1,0,2,0
201900348,5,3,4,2,5,1,5,5,4,5,5,7,1,9,7,1,5,5,2,2,0,0,1,0,3,3,0
201900349,4,7,6,7,5,7,5,1,8,5,1,9,5,6,5,5,6,2,1,0,0,0,1,0,0,0,1
201900352,5,7,6,7,4,1,6,5,5,7,7,1,2,5,5,5,7,5,0,1,1,2,0,4,1,1,0
201900358,7,2,5,9,6,7,5,5,5,1,5,5,7,5,3,1,6,4,1,0,0,0,0,0,0,3,2
201900361,1,1,2,5,7,7,4,7,5,5,4,5,6,9,5,5,6,7,0,1,1,1,0,1,1,0,0
201900375,7,7,7,5,5,7,5,4,5,5,7,6,1,2,5,1,1,4,0,0,1,1,1,0,1,0,2
201900377,7,4,7,7,5,1,6,1,4,5,2,5,6,5,4,6,6,5,2,1,2,3,1,1,0,1,0
201900380,2,5,5,7,1,9,7,5,1,2,5,1,6,1,5,5,5,2,2,0,1,0,1,1,0,0,2
201900425,5,5,4,6,1,5,5,7,6,5,1,9,5,1,1,9,5,5,0,2,4,0,0,0,0,1,0
201900447,5,5,5,1,5,7,1,6,5,5,2,5,6,9,6,5,5,5,0,0,0,4,0,0,2,1,0
201900457,5,5,5,8,5,5,1,7,1,9,5,2,7,5,5,1,7,1,0,0,1,0,5,5,0,0,0
201900459,5,1,1,7,5,5,5,5,7,1,7,5,5,7,5,5,6,5,0,0,0,0,1,0,0,0,2
201900461,5,5,6,2,2,4,5,5,4,1,5,5,1,4,1,5,5,1,0,2,2,0,3,0,2,1,0
201900462,5,5,5,7,1,9,1,6,5,1,5,6,6,1,1,5,5,7,1,0,1,1,0,2,2,0,0
201900468,5,7,5,1,6,5,2,6,5,5,1,5,5,5,7,7,4,7,0,5,2,4,0,0,2,0,1
201900469,5,7,5,5,2,7,5,7,2,5,5,5,5,5,5,7,5,1,0,0,0,1,0,0,0,0,0
201900478,5,5,1,5,6,5,5,4,6,1,5,6,7,5,2,1,5,5,1,2,2,1,2,2,0,4,0
201900492,5,5,2,5,5,7,5,5,1,9,7,7,7,6,5,1,5,7,0,1,0,0,1,0,0,7,0
201900520,5,5,5,7,2,9,5,6,5,5,2,5,2,7,5,5,5,7,0,0,1,0,0,1,0,0,0
201900571,5,5,5,1,1,5,5,5,1,5,5,5,4,7,5,3,7,4,0,1,1,0,0,0,1,2,1
201900574,1,5,5,6,7,7,6,5,1,5,2,6,1,7,1,5,1,9,0,0,0,0,1,0,0,0,1
201900591,6,7,7,5,7,7,5,7,7,5,1,1,2,1,5,5,8,5,2,1,0,0,0,0,2,0,0
201900595,1,5,5,5,5,1,6,5,5,1,5,5,6,8,7,1,6,5,3,0,0,0,0,0,5,2,0
201900632,8,4,5,7,8,5,1,5,7,5,5,5,5,1,5,2,4,5,2,0,0,1,0,2,0,0,1
201900637,7,5,1,1,4,7,1,4,5,7,5,5,7,5,5,1,1,1,0,0,2,7,0,0,0,1,1
201900644,7,5,7,5,2,1,4,5,5,5,7,5,6,5,5,2,5,7,0,0,3,1,0,0,0,1,0
201900683,7,7,5,5,1,5,5,5,2,1,5,5,5,6,7,7,1,4,0,0,3,0,0,0,2,0,2
201900684,1,9,5,5,6,5,5,1,2,1,5,7,5,5,5,2,5,7,4,0,0,0,1,0,0,1,0
201900688,5,5,5,5,4,1,1,6,5,5,5,5,5,5,1,5,7,5,0,0,1,0,0,0,0,2,2
201900691,5,5,5,5,6,5,7,1,5,7,5,6,2,5,5,1,4,4,2,0,4,0,0,2,2,0,2
201900695,7,5,4,5,5,4,2,5,1,5,8,5,5,2,5,7,5,6,0,1,1,1,0,0,1,0,2
201900710,5,2,5,7,5,7,6,5,5,1,5,5,1,5,5,5,5,2,0,0,0,0,0,0,2,0,0
201900712,5,7,4,5,6,9,5,7,5,5,5,1,7,1,1,2,5,1,0,1,0,0,0,0,2,2,0
201900719,1,5,1,5,1,9,5,7,6,5,6,5,6,3,7,5,5,5,0,1,6,0,0,0,1,0,0
201900759,2,5,5,2,5,2,7,5,2,2,2,9,7,5,5,6,5,6,1,0,1,1,3,1,0,0,0
201900788,5,1,1,5,7,7,5,1,7,5,2,7,6,9,5,1,7,5,0,0,1,0,0,0,1,1,0
201900810,1,9,5,1,5,1,1,7,5,8,2,2,4,5,7,1,5,5,0,0,0,1,0,3,1,0,0
201900814,5,1,2,8,6,1,5,5,2,5,1,7,3,6,7,5,5,1,2,1,3,1,1,2,4,0,0
201900815,7,5,5,5,7,5,1,7,7,5,1,7,5,7,4,1,6,5,0,0,0,1,0,0,0,1,2
201900817,5,1,1,7,7,5,5,7,5,1,2,9,4,4,5,5,5,5,2,1,0,0,2,1,2,0,0
201900818,5,6,7,5,5,7,5,1,5,1,1,7,2,9,5,7,7,1,0,0,0,0,0,3,4,0,0
201900828,5,1,7,7,5,7,6,5,5,7,1,1,7,4,7,7,7,5,0,0,0,0,0,3,1,0,0
201900839,5,5,1,5,5,6,1,7,5,5,7,6,5,4,4,5,1,7,0,0,0,0,0,0,2,1,0
201900843,5,2,5,7,5,5,7,5,6,5,7,1,5,7,5,6,8,9,1,0,0,0,2,0,0,0,2
201900844,7,6,6,1,1,1,5,7,2,5,5,1,1,9,7,5,7,7,0,3,0,0,0,0,0,2,0
201900852,7,5,5,5,5,7,5,1,5,1,7,4,2,9,7,5,5,6,0,0,0,1,0,1,2,0,1
201900872,5,5,6,1,5,1,5,1,2,5,5,5,7,1,7,7,5,7,0,1,2,0,1,0,0,0,0
201900938,5,5,7,5,1,9,7,5,1,5,5,3,1,1,5,5,2,9,0,0,0,0,0,0,3,0,1
201900987,2,5,7,5,5,5,6,5,1,5,5,5,7,7,5,5,1,7,0,0,0,0,1,3,0,0,0
201900998,6,6,5,7,5,5,5,2,5,5,7,5,5,7,6,2,5,7,1,0,0,1,0,0,0,1,0
201901026,5,5,5,1,1,4,4,5,5,5,5,7,6,5,2,9,6,7,0,1,2,1,1,0,2,1,0
201901027,5,1,5,1,1,9,1,5,5,2,5,7,2,5,3,4,7,5,0,0,0,1,4,0,3,3,0
201901030,2,7,5,5,2,9,5,5,7,6,7,5,5,5,4,5,4,6,0,0,1,0,3,0,0,4,1
201901041,5,6,5,1,7,5,5,4,7,5,6,7,7,5,5,7,1,9,0,0,3,1,0,0,0,0,2
201901080,5,6,5,1,7,7,1,9,7,5,7,5,7,5,5,6,5,7,0,0,2,2,0,0,0,1,0
201901082,1,1,2,5,5,4,5,1,7,7,2,5,7,5,2,5,5,6,2,0,1,3,0,1,0,2,0
201901083,7,1,7,5,5,7,6,5,4,7,5,5,2,4,2,9,5,5,0,0,0,0,1,0,2,3,0
201901092,1,9,7,6,6,2,5,7,5,5,7,5,1,1,5,6,6,5,5,0,2,0,1,0,0,0,2
201901095,5,1,7,5,5,7,7,5,5,5,7,7,5,5,5,1,5,5,0,0,0,0,0,2,0,0,0
201901133,5,5,5,6,5,5,7,1,5,5,6,7,1,9,1,6,5,7,0,0,0,3,0,2,1,2,0
201901154,1,5,1,4,6,1,6,6,1,5,2,1,5,5,5,5,2,7,1,2,1,0,2,0,0,0,0
201901162,7,7,5,2,5,5,5,1,1,5,5,7,6,9,7,1,5,7,0,2,0,0,0,1,2,0,0
201901173,4,5,7,7,7,5,8,5,5,7,5,4,6,9,5,5,5,5,1,0,0,0,0,2,0,0,0
201901184,1,8,5,7,4,7,7,5,7,5,7,7,2,9,7,8,1,1,3,0,2,0,0,0,1,0,2
201901186,7,7,5,5,6,9,3,7,7,5,5,1,7,2,5,5,1,5,0,0,4,1,0,0,1,0,0
201901198,5,5,1,5,7,7,5,6,4,5,5,2,6,4,1,5,5,7,0,0,0,1,1,0,2,0,1
201901206,6,5,4,7,7,5,5,5,7,7,1,5,2,9,7,7,5,7,0,1,0,1,0,0,1,0,0
201901222,6,2,5,7,6,5,5,5,5,1,5,5,1,9,6,1,5,5,0,0,0,0,0,0,1,3,0
201901246,5,2,5,7,2,5,5,5,5,6,1,1,1,7,5,6,1,6,1,0,1,1,0,7,0,2,1
201901256,5,5,5,5,1,7,6,5,2,1,1,9,4,5,2,5,5,5,0,0,0,2,4,1,2,4,0
201901273,7,5,1,5,7,7,5,1,5,6,5,7,7,5,7,7,6,9,0,0,0,3,0,0,0,0,6
201901307,7,6,5,5,5,4,5,7,5,5,7,5,2,1,5,7,5,6,0,0,1,0,0,0,2,0,2
201901310,5,4,7,6,6,6,2,9,6,5,5,5,1,3,7,7,7,4,3,0,0,1,2,0,2,0,1
201901324,5,5,7,5,7,5,7,5,7,1,5,7,5,5,1,5,5,7,0,0,0,0,0,0,1,2,0
201901331,5,5,7,5,7,1,5,7,1,6,5,7,3,7,2,1,7,2,0,0,0,1,3,0,1,6,0
201901338,1,5,5,1,7,5,7,7,5,5,6,4,5,1,4,1,5,5,4,0,0,0,0,2,0,1,1
201901376,5,7,5,5,1,9,7,5,5,1,1,5,4,5,7,5,7,5,0,1,0,0,0,0,1,0,0
201901388,5,5,1,5,5,5,2,5,1,9,1,5,7,6,7,7,7,7,0,0,0,1,0,0,2,0,0
201901394,7,5,7,5,7,5,1,2,5,4,1,9,5,4,2,2,1,5,0,0,0,6,1,0,2,5,2
201901398,4,1,7,5,5,4,5,1,1,7,5,1,1,5,5,5,1,1,1,0,1,0,0,0,0,0,3
201901441,1,7,5,5,1,7,5,5,5,6,2,5,5,5,2,6,2,5,0,0,8,0,2,0,0,3,0
201901451,1,7,7,7,5,5,5,2,4,5,7,7,5,1,5,6,5,1,0,0,0,0,1,0,1,1,3
201901457,1,5,5,2,5,5,6,1,5,7,5,5,6,7,5,7,5,6,0,0,0,2,0,0,0,0,4
201901471,7,5,1,5,7,5,5,4,5,1,6,5,7,5,5,6,5,1,0,0,0,1,3,0,0,0,1
201901475,4,7,7,7,6,9,6,7,5,8,7,5,1,5,6,5,5,7,1,0,4,2,0,0,0,1,0
201901491,5,7,1,5,5,5,2,5,7,5,2,9,5,5,4,7,5,5,0,2,1,0,1,2,0,1,0
201901498,7,7,4,1,5,1,7,7,7,5,5,7,5,5,6,5,5,7,0,3,4,0,0,0,0,0,0
201901504,5,5,7,5,7,7,1,2,7,7,5,4,5,5,4,6,7,5,0,0,0,1,0,1,0,3,0
201901505,5,5,5,1,7,5,2,5,5,4,5,5,5,7,5,5,5,5,0,0,0,4,1,0,0,0,0
201901511,4,1,1,1,4,5,5,5,7,2,5,5,5,5,7,5,5,5,1,2,3,0,0,0,0,1,0
201901512,1,5,5,7,7,5,5,4,5,5,1,5,5,1,6,7,2,5,1,0,0,1,0,1,0,0,0
201901521,7,5,7,5,5,1,6,7,7,7,5,1,7,5,8,7,5,1,0,0,0,0,0,0,0,2,0
201901522,5,7,2,2,4,7,1,5,5,2,1,5,7,7,7,1,4,1,0,4,2,3,0,0,0,0,1
201901526,5,7,5,4,6,9,1,4,5,7,2,5,5,5,4,5,5,5,0,9,0,4,0,0,0,1,0
201901539,8,5,7,1,5,1,1,5,5,5,7,7,1,5,5,5,7,1,1,6,0,0,0,0,0,0,2
201901542,1,9,5,7,1,7,5,1,5,7,6,5,7,5,7,5,1,1,3,0,0,3,0,0,0,0,6
201901546,5,5,7,1,5,5,5,5,5,7,5,5,5,4,7,7,5,1,0,5,0,0,0,0,1,0,0
201901560,7,5,5,7,4,1,7,6,7,7,7,5,7,2,5,5,5,5,0,0,1,3,0,1,4,0,0
201901569,7,5,7,7,6,6,5,7,5,6,5,7,5,5,6,5,5,5,0,0,1,0,3,0,0,0,0
201901570,5,5,5,1,5,5,6,5,5,5,7,7,5,7,7,7,8,5,0,4,0,3,0,3,0,0,1
201901579,6,7,6,5,1,1,5,2,5,5,1,9,1,5,1,9,2,2,0,2,0,2,0,1,0,0,2
201901615,7,1,7,7,2,1,6,5,5,7,6,4,7,5,5,7,6,1,0,0,0,0,0,5,0,0,0
201901617,2,5,7,5,5,5,5,5,7,5,5,6,4,7,4,2,5,5,0,0,0,0,0,1,1,2,0
201901650,1,6,5,7,2,7,5,7,8,5,5,7,7,4,2,4,5,1,1,0,0,0,0,0,1,2,3
201901659,5,5,1,5,7,5,7,5,7,7,5,7,2,9,5,1,5,5,0,5,0,0,0,0,1,3,1
201901681,1,6,4,7,7,5,2,9,5,5,2,5,1,7,1,7,6,6,0,1,2,1,0,0,1,1,1
201901688,5,5,5,3,5,6,8,5,1,9,4,7,1,5,1,1,1,1,1,1,0,0,1,1,0,0,1
201901701,5,4,5,5,1,1,7,7,5,1,5,7,1,5,5,5,5,6,3,0,3,0,0,1,0,2,2
201901707,7,7,7,7,5,5,5,2,5,4,6,5,5,5,6,5,4,2,0,0,0,4,2,5,0,0,3
201901711,7,2,7,6,7,5,5,5,7,5,5,4,7,5,7,7,8,9,0,0,0,0,0,1,0,0,0
201901721,2,7,5,5,4,6,7,5,7,5,2,1,5,5,5,7,7,5,2,0,3,0,0,3,0,0,0
201901745,7,5,1,5,4,5,5,5,2,6,2,1,2,5,1,5,5,2,3,5,1,0,4,1,6,0,3
201901746,5,7,5,5,5,5,1,5,6,5,1,7,5,5,6,7,7,6,0,0,0,2,0,0,2,1,2
201901788,5,6,5,1,1,1,5,7,1,4,6,1,5,8,7,5,5,5,0,0,3,0,4,1,2,0,0
201901813,5,7,5,1,7,5,6,5,7,7,4,5,8,5,1,5,7,1,0,5,1,4,1,1,0,1,0
201901819,5,5,1,5,2,1,2,9,7,7,2,5,5,7,1,1,5,5,0,0,2,1,0,0,0,4,0
201901842,5,1,6,1,1,1,5,7,7,1,5,5,5,7,2,5,5,1,6,2,0,0,1,0,0,1,2
201901857,6,7,7,1,5,7,5,2,5,5,7,7,7,5,1,2,5,5,2,0,0,1,0,0,0,3,0
201901858,1,3,5,7,5,5,6,5,7,5,5,1,2,9,7,5,4,5,3,0,0,0,0,0,6,1,1
201901871,5,4,6,5,1,7,6,7,1,5,1,5,7,5,5,5,2,4,4,4,0,3,0,0,0,0,2
201901872,1,4,5,7,5,6,5,5,1,5,5,7,5,5,5,6,7,5,3,0,0,0,2,0,0,0,0
201901888,5,7,5,7,7,1,5,2,1,1,5,1,5,5,5,7,6,5,0,0,0,2,2,3,0,0,0
201901889,1,5,7,5,1,1,5,8,2,7,2,6,7,5,7,5,7,1,2,0,1,0,1,0,0,0,0
201901909,7,5,5,5,5,5,5,5,5,4,5,6,5,5,5,7,2,5,0,0,1,0,1,2,0,0,1
201901916,2,1,6,1,1,5,5,1,5,5,5,1,5,5,5,5,5,5,3,3,0,1,0,4,0,0,0
201901917,5,7,4,6,5,7,7,1,5,7,7,1,2,1,5,2,5,5,0,1,0,0,0,0,0,1,0
201901921,1,7,5,2,5,4,7,5,1,1,7,5,5,5,1,5,4,5,0,0,2,0,5,1,0,1,1
201901926,5,4,5,5,1,9,5,1,5,1,5,5,4,7,7,1,6,2,1,0,1,2,3,0,1,0,1
201901936,5,5,5,5,2,5,1,1,2,5,5,6,7,2,5,5,7,2,0,0,0,6,0,0,3,0,0
201901943,1,5,5,5,5,5,4,2,2,1,6,5,7,7,7,7,5,1,2,0,0,2,1,0,0,0,0
201901958,5,2,1,5,1,9,6,7,2,5,5,6,5,7,7,2,7,3,0,0,0,0,0,0,0,0,1
201901959,5,7,1,5,7,3,5,5,1,9,5,5,1,7,4,5,4,6,0,0,1,0,3,0,0,1,1
201901961,5,7,4,5,5,5,5,4,5,5,1,5,5,7,5,7,7,5,0,4,0,1,0,0,0,0,0
201901964,5,2,1,9,5,5,7,7,5,5,7,1,5,5,1,6,8,7,2,6,0,1,0,2,0,1,0
201901968,7,6,5,4,6,5,1,4,5,4,6,5,6,2,7,5,7,5,1,1,0,2,2,0,4,0,0
201901982,1,5,5,5,5,3,1,7,7,1,5,5,4,5,7,6,4,2,0,0,2,0,3,0,1,0,1
201901985,1,7,4,7,5,5,5,7,5,5,2,9,6,5,7,4,4,1,0,1,0,0,0,1,0,1,1
201901993,5,5,5,4,7,5,7,5,5,5,5,5,7,1,7,7,6,7,0,1,0,0,0,0,3,0,0
201902030,4,1,1,1,5,1,5,4,6,9,5,5,5,1,7,1,1,1,2,3,0,2,0,0,3,0,1
201902047,4,2,7,4,5,5,5,5,7,5,3,5,7,2,7,7,1,5,2,1,0,0,0,4,0,0,1
201902054,5,7,1,6,5,5,5,6,5,1,5,7,5,5,5,6,7,7,0,2,0,5,0,0,0,0,0
201902071,7,2,5,5,2,9,7,2,6,6,7,7,7,5,5,7,4,2,0,0,1,1,2,0,0,0,2
201902081,5,5,1,7,5,5,5,5,7,5,5,5,5,5,5,7,5,5,1,0,0,0,2,0,2,0,0
201902093,5,1,7,6,7,5,5,5,6,6,5,6,5,6,5,5,5,6,0,0,0,0,1,0,1,0,0
201902097,5,5,7,5,5,7,5,5,5,7,7,5,1,5,7,5,5,6,0,0,0,0,0,0,2,0,1
201902101,1,5,5,5,4,5,5,6,5,1,6,7,2,7,2,9,5,5,0,0,1,0,5,0,0,1,0
201902131,5,5,6,5,5,2,6,5,8,5,5,5,5,5,7,6,5,6,0,1,0,0,2,0,0,0,0
201902138,5,7,2,5,6,7,5,7,1,5,2,9,1,7,7,7,5,5,0,0,1,1,2,3,3,0,0
201902160,7,1,5,1,1,4,7,8,5,5,5,2,7,5,2,8,5,5,4,0,2,0,1,0,0,0,0
201902175,4,6,5,5,1,9,5,2,5,6,1,5,7,6,5,5,5,5,1,0,3,1,0,0,0,0,2
201902176,5,7,7,7,5,5,4,7,7,5,4,1,5,1,5,2,7,7,0,0,0,1,0,4,0,0,0
201902180,5,2,7,5,5,5,6,7,5,5,5,7,5,5,5,1,7,4,2,0,3,0,0,0,0,0,1
201902186,7,4,1,5,7,7,7,7,7,7,6,1,7,5,5,7,6,9,1,1,0,0,0,3,0,0,1
201902187,5,5,1,5,5,5,5,7,7,1,2,1,8,5,5,5,7,7,0,1,0,0,0,3,0,0,0
201902205,5,5,7,4,6,7,6,1,5,7,5,2,6,7,1,5,1,5,1,2,3,1,0,3,0,0,4
201902211,5,5,5,7,5,5,7,1,7,5,1,9,6,1,5,6,1,1,0,0,0,0,0,0,1,0,1
201902250,1,2,5,7,7,7,7,7,5,1,5,5,7,5,6,1,7,5,3,0,0,0,1,0,0,0,0
201902253,7,5,5,5,1,9,6,5,7,1,7,7,2,1,4,2,2,7,0,0,1,0,1,3,5,2,0
201902270,7,5,7,2,7,5,8,4,7,5,4,5,7,5,5,7,5,7,0,0,0,2,0,2,0,0,0
201902271,5,5,5,5,1,4,5,7,1,5,1,7,2,7,1,1,7,1,0,0,2,0,0,0,0,0,0
201902288,7,7,6,1,5,5,5,6,7,5,5,7,1,9,2,7,5,7,0,2,0,0,0,0,0,7,0
201902301,5,5,7,5,5,7,5,6,7,5,5,5,5,5,7,5,5,7,0,0,1,3,0,1,1,0,0
201902307,5,7,5,8,5,5,5,5,7,7,1,1,5,5,7,5,1,9,0,2,0,0,0,3,0,0,7
201902327,5,2,5,7,1,9,5,5,5,5,1,5,1,5,5,7,7,5,0,0,0,0,0,3,1,0,0
201902346,7,5,7,4,1,9,5,7,7,7,5,7,5,5,7,6,6,1,0,1,2,0,0,0,0,0,1
201902365,2,5,1,1,7,5,5,7,5,4,6,5,5,6,2,7,1,9,0,0,0,0,1,0,0,0,2
201902373,5,7,5,6,5,9,7,5,1,7,1,5,2,5,7,7,1,5,0,0,0,0,0,1,0,0,0
201902392,6,5,5,1,1,5,6,5,5,5,5,7,2,1,7,1,4,7,0,0,2,1,0,0,0,2,1
201902394,2,4,7,4,5,5,7,5,6,7,2,9,7,5,5,6,4,5,2,1,1,0,0,4,0,0,1
