ID,Year_Birth,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
4114,1964,Married,79143.0,0,0,650,37,780,27,167,1,6,9,13,3
1331,1977,Single,35790.0,1,0,12,6,20,30,1,2,2,0,3,7
2225,1977,Divorced,82582.0,0,0,510,120,550,156,40,1,4,9,7,1
9381,1978,Married,66373.0,1,1,328,9,124,12,24,7,4,2,10,3
6260,1955,Together,82384.0,0,0,984,51,432,180,120,1,3,10,13,1
10383,1966,Divorced,70287.0,0,0,295,35,482,121,120,1,5,5,10,3
7437,1988,Single,27938.0,1,0,13,0,8,2,1,1,1,0,4,3
8557,1982,Single,,1,0,11,3,22,2,2,2,2,0,3,6
8375,1968,Married,55954.0,0,1,447,0,28,0,0,3,8,2,6,7
6853,1982,Single,75777.0,0,0,712,26,538,69,13,1,3,6,11,1
3076,1975,Together,66653.0,1,1,452,18,102,16,18,4,4,2,12,3
1012,1952,Single,61823.0,0,1,523,7,134,37,14,4,8,2,10,7
6518,1951,Widow,67680.0,0,1,546,0,48,0,6,1,7,3,8,5
4137,1948,Together,70666.0,0,0,398,40,367,119,122,1,7,4,4,4
8082,1971,Married,25721.0,1,0,1,3,6,3,6,1,1,1,2,7
1386,1967,Together,32474.0,1,1,10,0,1,0,0,1,1,0,2,7
9369,1979,Single,88194.0,0,1,688,14,309,201,24,1,11,10,10,5
4477,1958,Together,69096.0,0,1,247,49,159,7,82,1,5,2,10,4
1357,1970,Together,74854.0,1,2,856,59,487,58,29,7,2,5,5,5
1402,1954,Married,66991.0,0,0,496,36,460,189,60,3,4,8,6,3
10629,1973,Married,,1,0,25,3,43,17,4,3,3,0,3,8
6312,1959,Married,65031.0,0,1,258,107,291,84,37,4,10,3,13,7
8132,1975,Married,60631.0,1,1,565,6,65,0,6,5,9,2,8,7
1050,1952,Married,28332.0,0,0,14,10,13,4,15,1,2,1,4,2
5846,1977,Divorced,40246.0,1,0,2,1,6,2,1,1,1,0,2,6
1859,1972,Married,75251.0,0,0,721,111,925,97,18,1,7,6,5,5
7503,1976,Single,75825.0,0,0,1032,105,779,137,105,0,5,8,9,4
10401,1976,Together,26326.0,0,0,1,0,5,0,3,1,0,0,3,3
1618,1965,Together,56046.0,0,0,577,0,64,0,0,2,10,1,8,8
3332,1985,Single,29760.0,1,0,64,4,68,7,5,4,3,1,4,8
2261,1969,Married,26304.0,1,0,4,1,5,2,0,1,1,0,2,7
5346,1973,Married,23559.0,1,0,25,5,19,7,0,3,3,0,3,7
4119,1963,Together,38620.0,0,0,112,17,44,34,22,1,2,5,3,3
535,1987,Divorced,81361.0,0,0,163,23,424,27,65,1,3,10,13,1
5268,1960,Married,29440.0,1,1,17,8,14,10,4,2,1,0,4,7
273,1970,Married,36138.0,1,1,130,0,16,0,0,5,3,1,4,7
4452,1957,Single,50388.0,0,1,292,6,37,0,3,4,6,1,6,7
8504,1973,Married,79593.0,0,0,350,60,568,110,133,1,5,6,7,2
771,1967,Together,54178.0,0,1,135,9,39,4,0,1,2,2,5,2
8996,1957,Married,,2,1,230,42,192,49,37,12,7,2,8,9
9235,1957,Single,,1,1,7,0,8,2,0,1,1,0,2,7
5798,1973,Together,,0,0,445,37,359,98,28,1,2,4,8,1
11178,1972,Single,42394.0,1,0,15,2,10,0,1,1,1,0,3,7
2230,1970,Married,23626.0,1,0,27,2,14,0,0,3,3,1,3,5
7516,1983,Married,30096.0,1,0,5,3,11,12,5,1,2,0,3,6
7247,1960,Widow,47916.0,0,1,505,0,26,0,0,5,7,4,6,6
11100,1972,Divorced,51813.0,1,1,51,2,7,0,1,2,2,0,3,7
4646,1951,Married,78497.0,0,0,207,26,447,75,0,1,5,7,12,2
3037,1983,Married,50150.0,0,0,135,46,92,65,61,2,5,2,7,5
1473,1960,Single,47823.0,0,1,53,1,5,2,1,2,2,0,3,8
1016,1959,Single,34554.0,0,1,41,1,6,2,0,2,2,0,3,6
4518,1979,Together,85693.0,0,1,386,172,183,185,132,2,9,5,11,5
9370,1945,Married,65846.0,0,0,562,81,276,80,40,1,6,3,6,4
8908,1959,Married,87195.0,0,0,217,76,690,50,26,1,3,11,5,1
8373,1979,Together,24594.0,1,0,1,3,6,10,0,1,1,0,3,5
7533,1964,Married,49096.0,1,1,144,1,32,2,1,4,4,1,4,7
2683,1969,Married,52413.0,0,2,295,106,271,75,98,4,6,4,12,6
3629,1978,Single,38557.0,1,0,76,3,31,4,4,2,3,1,3,7
10991,1960,Married,89058.0,0,0,454,194,106,31,22,1,5,4,4,2
5077,1979,Together,77298.0,0,1,425,115,292,23,35,1,6,6,11,3
7431,1991,Single,68126.0,0,0,1332,17,311,23,51,1,7,4,5,9
3267,1963,Together,57288.0,0,1,527,0,21,0,0,3,8,1,8,6
999,1991,Single,86037.0,0,0,490,44,125,29,20,1,6,7,11,3
9215,1980,Married,43974.0,1,0,378,0,101,0,0,5,6,4,6,7
2286,1962,Single,50785.0,1,1,64,1,21,0,1,2,2,1,3,6
1592,1970,Married,90765.0,0,0,547,99,812,151,82,0,4,6,5,1
367,1978,Married,36550.0,1,0,47,90,94,123,103,5,9,1,5,9
5234,1967,Together,30753.0,1,1,12,5,25,0,9,2,1,1,3,5
9862,1969,Together,21918.0,1,0,1,6,7,11,5,2,2,0,3,6
9805,1953,Together,56129.0,0,1,320,48,133,39,72,4,6,2,10,4
6205,1967,Single,32557.0,1,0,34,3,29,0,4,3,2,1,3,5
8442,1985,Married,19510.0,2,0,9,0,7,3,4,2,1,0,3,7
7386,1976,Divorced,30992.0,1,0,17,0,14,7,3,1,1,0,3,7
7215,1983,Single,101970.0,0,0,722,27,102,44,72,0,6,8,13,2
1491,1965,Together,71488.0,0,0,162,33,124,40,28,2,3,4,7,1
11071,1984,Single,79607.0,0,0,450,133,951,173,0,1,3,6,6,1
3381,1953,Married,54348.0,1,1,70,0,16,0,0,2,2,0,4,6
8268,1961,Married,,0,1,352,0,27,10,0,3,6,1,7,6
11051,1956,Together,77376.0,1,1,492,19,110,16,12,4,6,3,10,4
8026,1952,Married,62998.0,0,1,120,58,73,65,89,5,5,4,5,5
433,1958,Alone,61331.0,1,1,534,5,47,0,5,5,11,1,6,8
9597,1969,Married,73448.0,0,0,236,106,189,23,41,1,7,2,9,4
1295,1963,Married,,0,1,231,65,196,38,71,1,6,5,7,4
5290,1964,Married,41551.0,1,1,220,0,33,3,0,5,5,1,5,8
1685,1967,Together,62981.0,0,0,796,14,590,38,44,1,4,5,13,3
5342,1976,Divorced,9548.0,1,0,0,1,3,10,6,2,1,0,3,8
9579,1959,Married,33762.0,2,1,53,1,34,2,0,3,2,2,2,8
7660,1973,Alone,35860.0,1,1,15,0,8,4,2,2,1,1,2,5
1461,1965,Divorced,36921.0,1,1,17,1,12,3,1,2,2,0,3,7
821,1992,Single,92859.0,0,0,962,61,921,52,61,1,5,4,12,2
11084,1976,Together,65104.0,0,1,738,0,232,13,20,2,3,5,7,7
8690,1962,Married,86111.0,0,0,399,28,756,36,40,1,5,7,10,2
2937,1974,Single,68352.0,0,1,614,16,132,43,33,3,8,5,9,6
9701,1988,Together,41883.0,1,0,32,34,41,73,16,3,4,2,3,7
9949,1976,Married,59809.0,0,2,598,16,141,32,41,3,3,3,6,8
10837,1975,Married,23957.0,1,0,2,1,18,20,11,1,2,0,3,6
3120,1981,Together,38547.0,1,0,6,1,10,0,1,1,1,0,2,8
5885,1973,Married,35688.0,2,1,73,3,90,12,1,7,4,1,4,8
4050,1966,Married,49605.0,0,0,42,16,29,12,20,1,2,1,4,3
3830,1953,Married,59354.0,0,2,295,21,78,39,13,1,4,4,7,3
7987,1969,Married,65747.0,0,1,346,17,48,23,13,4,8,1,6,6
7798,1972,Together,46344.0,0,1,233,20,57,8,20,4,7,1,5,7
92,1988,Alone,34176.0,1,0,5,7,24,19,14,4,3,0,4,6
7055,1952,Together,61010.0,0,1,888,0,57,0,0,2,8,5,11,5
10240,1949,Together,69372.0,0,0,997,26,269,34,13,1,10,4,6,4
3025,1958,Single,49967.0,0,1,212,6,69,4,12,3,6,1,5,7
9283,1978,Single,60199.0,1,2,8,1,7,2,0,1,0,0,3,4
9970,1977,Together,55375.0,0,1,42,11,57,10,28,1,1,1,6,2
2730,1955,Single,80317.0,0,0,536,11,387,149,91,1,3,4,10,1
2795,1958,Single,30523.0,2,1,5,0,3,0,0,1,1,0,2,7
9260,1945,Married,70356.0,0,0,1349,16,249,43,16,2,10,6,9,6
8182,1984,Married,23228.0,1,0,53,3,49,7,4,4,3,0,4,8
10095,1975,Divorced,74165.0,0,0,1001,12,240,16,12,1,5,4,10,2
8475,1973,Married,157243.0,0,1,20,2,1582,1,2,15,0,22,0,0
4370,1966,Together,43482.0,2,1,18,1,32,6,3,3,2,0,4,6
10573,1953,Divorced,62551.0,0,0,125,16,98,134,21,1,6,7,4,3
3712,1959,Divorced,52332.0,0,0,212,5,33,7,0,1,3,2,6,4
6637,1988,Single,66951.0,0,0,277,162,305,173,76,1,3,4,7,1
3152,1957,Together,26091.0,1,1,15,10,19,8,17,3,2,1,3,5
5610,1965,Together,33456.0,1,1,7,3,10,8,1,2,1,0,3,7
6460,1982,Married,28718.0,1,0,12,4,6,11,8,2,2,0,3,8
1349,1970,Married,50447.0,2,0,85,7,24,2,3,1,3,1,3,6
1880,1959,Together,53537.0,1,1,81,0,6,0,0,2,2,1,3,5
641,1967,Single,52074.0,0,1,59,0,12,0,0,1,2,2,2,4
8717,1975,Married,80427.0,0,1,1149,71,449,69,71,1,11,8,8,5
10314,1948,Married,83837.0,0,0,847,66,119,86,89,1,9,10,5,4
10854,1970,Married,38853.0,1,1,29,0,14,0,0,2,2,0,3,7
10492,1959,Together,38285.0,2,1,2,0,5,2,0,1,0,0,3,2
6935,1951,Married,78497.0,0,0,207,26,447,75,0,1,5,7,12,2
7698,1976,Married,51650.0,0,1,152,3,22,2,5,1,4,1,4,5
3559,1988,Married,16248.0,1,0,12,11,10,3,12,3,2,1,3,6
10562,1946,Married,66835.0,0,0,620,26,195,34,17,1,6,4,13,2
10796,1984,Married,30477.0,1,0,47,1,6,0,0,1,1,1,3,6
2563,1961,Married,28249.0,0,0,1,9,7,2,14,1,2,0,3,6
3518,1983,Married,25271.0,1,0,10,1,18,10,4,1,1,1,2,9
5823,1970,Single,32303.0,0,1,35,0,2,0,0,2,1,0,4,5
3934,1966,Married,61286.0,0,1,356,0,107,19,9,2,7,1,8,5
6982,1976,Married,74068.0,0,0,783,30,537,140,76,1,4,10,9,2
6431,1964,Married,45759.0,1,1,42,1,18,3,0,2,2,0,3,7
9733,1978,Together,24882.0,1,0,1,4,10,29,0,1,1,1,2,6
5602,1989,Together,66973.0,0,0,466,22,432,147,113,1,8,7,12,3
7829,1900,Divorced,36640.0,1,0,15,6,8,7,4,1,2,1,2,5
1324,1988,Married,38872.0,1,0,23,3,21,3,19,2,3,0,3,8
326,1973,Married,51148.0,1,1,235,6,45,8,9,4,5,1,6,6
7224,1977,Married,31353.0,1,1,10,0,10,3,1,2,1,1,2,8
6999,1980,Married,69661.0,0,0,656,16,106,32,16,1,7,3,12,3
9938,1954,Married,80067.0,0,0,519,17,813,27,173,1,4,6,6,2
6422,1954,Married,86718.0,0,0,344,189,482,50,33,1,5,6,5,2
3182,1973,Single,46854.0,1,1,96,1,79,7,1,6,5,1,3,8
7300,1952,Divorced,69142.0,0,1,448,4,34,6,4,3,8,1,7,5
10424,1968,Single,75922.0,0,0,265,138,553,224,23,1,4,4,9,1
8727,1978,Divorced,63693.0,0,1,587,43,337,42,87,3,11,6,9,6
2798,1977,Together,102160.0,0,0,763,29,138,76,176,0,7,9,10,4
1030,1965,Single,40637.0,1,1,22,0,13,0,0,2,1,0,3,7
624,1984,Single,18890.0,0,0,6,4,1,7,2,1,0,1,2,6
5176,1988,Together,29604.0,1,0,7,6,13,7,6,1,1,0,3,9
5552,1963,Divorced,48721.0,1,1,81,18,113,47,13,6,4,2,5,6
868,1966,Married,44794.0,0,1,54,0,7,0,0,1,2,0,3,6
380,1954,Divorced,64497.0,0,1,1170,48,320,42,32,5,11,4,9,8
2677,1956,Together,46097.0,0,1,72,24,68,65,4,5,3,1,6,4
6521,1954,Together,77972.0,0,0,613,22,319,33,102,1,4,6,9,1
6927,1968,Married,44377.0,1,1,224,0,30,0,0,8,5,1,5,8
2877,1974,Together,46014.0,1,1,410,0,59,19,9,10,7,1,8,7
0,1985,Married,70951.0,0,0,239,10,554,254,87,1,3,4,9,1
1584,1977,Married,41443.0,1,0,171,7,171,25,19,6,8,1,5,8
7264,1978,Single,52195.0,2,1,12,0,4,0,0,1,1,0,2,8
6274,1948,Married,83790.0,0,0,1076,16,417,42,48,1,8,10,6,3
1377,1954,Widow,44551.0,0,1,182,4,33,0,0,2,4,1,5,7
454,1980,Together,69508.0,1,0,824,32,162,42,32,2,11,4,11,6
1755,1988,Together,45204.0,1,0,30,11,25,29,1,1,1,1,4,3
2075,1969,Married,72460.0,0,0,377,10,540,80,30,1,3,5,7,1
4785,1970,Together,77622.0,0,2,520,7,154,19,0,2,6,3,11,3
9076,1980,Married,30732.0,1,0,155,1,25,0,1,4,4,1,4,8
7079,1962,Divorced,63887.0,0,1,897,23,207,15,11,5,9,6,12,6
4653,1978,Together,42011.0,1,0,131,0,16,2,1,4,3,1,4,8
7375,1976,Together,51369.0,0,1,297,7,79,0,11,2,8,2,4,8
709,1952,Divorced,51537.0,0,1,787,20,204,0,0,3,2,2,11,8
460,1972,Married,79930.0,0,0,792,86,740,67,51,1,3,5,8,2
3726,1986,Together,34320.0,1,0,4,1,9,3,0,1,1,0,2,8
6798,1966,Single,37070.0,1,1,231,7,137,4,15,9,5,1,8,7
5341,1962,Divorced,81975.0,0,1,983,76,184,180,138,1,6,3,4,7
1606,1971,Together,38590.0,1,0,3,1,8,4,3,1,1,0,2,8
9617,1951,Single,15033.0,0,0,0,4,5,6,0,1,1,0,3,3
3233,1965,Married,62745.0,0,1,562,21,464,28,10,3,7,8,11,5
89,1975,Married,22212.0,1,0,5,9,20,6,8,2,2,0,4,6
2936,1982,Together,23661.0,1,0,18,0,4,0,0,1,1,0,3,7
9449,1958,Single,79761.0,0,1,415,5,124,15,35,1,5,2,11,3
7297,1973,Single,7500.0,1,0,5,3,10,12,7,4,3,1,3,7
11004,1893,Single,60182.0,0,1,8,0,5,7,0,1,1,0,2,4
313,1968,Widow,73455.0,0,0,901,61,757,186,163,1,6,5,10,3
9940,1958,Together,64961.0,0,1,382,114,276,75,124,2,6,4,4,3
10735,1971,Single,22804.0,1,0,14,1,7,2,1,1,2,0,2,9
9529,1990,Married,73687.0,0,0,559,153,503,218,13,1,3,9,9,2
6439,1958,Married,61074.0,0,1,789,0,133,0,28,7,11,5,8,7
7411,1964,Married,31686.0,1,1,11,0,5,0,0,2,1,0,3,6
2176,1972,Married,80134.0,1,0,1218,16,272,104,0,2,5,3,6,6
9265,1953,Married,75027.0,0,1,925,64,179,133,12,2,9,4,6,5
8867,1988,Married,67546.0,0,0,864,134,768,150,38,1,4,10,5,3
8932,1969,Together,65176.0,0,1,960,28,183,220,70,4,9,6,6,6
10236,1975,Single,31160.0,1,0,16,3,25,6,1,2,2,0,3,8
6340,1985,Single,29938.0,1,0,3,3,7,0,2,2,1,0,3,6
10089,1974,Divorced,102692.0,0,0,168,148,444,32,172,1,6,9,13,2
2227,1958,Together,26490.0,0,0,45,47,52,21,20,2,3,1,5,6
10992,1967,Together,75702.0,1,1,650,28,353,45,42,5,4,6,11,8
5304,1974,Single,30899.0,1,0,24,0,8,0,0,2,1,0,3,6
309,1961,Together,63342.0,0,1,918,21,118,13,10,3,8,3,5,6
3406,1964,Single,45989.0,0,1,138,33,87,28,24,4,3,2,7,3
2661,1964,Single,18701.0,1,1,12,4,2,10,6,4,2,0,4,5
3153,1957,Single,40737.0,2,1,11,0,4,0,0,1,1,0,2,8
10264,1979,Divorced,15287.0,1,0,1,2,8,4,3,2,1,1,2,7
1184,1968,Divorced,69674.0,0,2,554,41,215,11,0,3,10,2,10,5
4200,1970,Married,44159.0,1,0,167,2,62,24,13,4,4,1,6,5
9396,1978,Married,37717.0,1,0,9,0,6,4,1,1,1,0,2,9
2387,1952,Together,43776.0,1,1,177,2,71,3,2,6,5,2,4,8
6690,1966,Married,38179.0,1,1,38,4,22,4,2,4,3,1,3,7
1225,1963,Married,80124.0,0,0,483,84,398,205,84,1,3,7,8,1
9703,1970,Married,38097.0,1,1,77,2,35,0,1,4,3,2,2,7
291,1970,Married,72940.0,0,0,182,74,298,162,149,1,3,3,6,1
4557,1970,Together,22070.0,1,0,10,7,19,8,2,2,2,2,2,6
2379,1953,Single,69267.0,0,0,778,44,499,95,73,2,3,4,5,7
5726,1983,Single,31788.0,1,0,16,7,23,0,8,3,3,0,4,5
3066,1975,Together,61905.0,0,1,167,0,43,6,2,2,4,2,4,5
6336,1960,Married,29315.0,1,1,13,2,14,8,7,4,2,0,4,6
10967,1963,Divorced,33378.0,1,1,33,6,40,3,7,3,2,0,4,7
2304,1963,Together,66313.0,0,1,625,7,99,10,22,2,6,3,12,4
3445,1956,Single,60714.0,0,0,216,162,224,101,92,2,7,4,10,5
7828,1981,Together,77882.0,0,0,68,129,396,188,22,1,3,3,5,1
3762,1986,Single,69867.0,0,0,196,0,512,33,130,1,3,5,8,1
4391,1968,Divorced,63841.0,0,1,635,15,100,20,7,1,9,3,9,6
4669,1981,Married,24480.0,1,0,4,19,9,28,25,3,3,0,4,7
10144,1976,Together,51369.0,0,1,297,7,79,0,11,2,8,2,4,8
8652,1946,Together,37760.0,0,0,84,5,38,150,12,2,4,1,6,7
1672,1974,Together,65640.0,0,1,204,7,149,20,15,1,5,1,8,2
8962,1975,Married,44319.0,1,1,26,0,8,0,0,2,2,0,3,5
9974,1974,Married,30631.0,1,0,15,6,20,4,5,1,3,1,2,7
10983,1952,Together,75278.0,0,0,304,98,230,150,74,1,6,3,13,3
8148,1956,Together,50898.0,1,1,285,28,242,55,114,13,6,2,12,5
10102,1966,Widow,79946.0,0,0,395,183,565,166,141,1,5,11,5,3
4697,1949,Divorced,35416.0,0,0,248,3,81,4,3,3,7,1,5,8
9262,1984,Together,32414.0,0,0,20,6,5,0,9,1,1,0,3,7
7254,1969,Together,38361.0,1,0,39,0,56,20,8,3,3,1,3,7
4543,1980,Married,82497.0,0,0,777,129,573,216,21,1,2,7,9,4
4927,1971,Together,16626.0,2,0,8,3,22,21,1,3,3,0,3,9
10451,1965,Together,29672.0,1,1,9,1,3,0,4,1,0,0,3,6
2926,1952,Together,55951.0,0,1,1241,0,80,0,13,3,3,6,11,8
2874,1988,Divorced,35388.0,1,0,6,4,7,4,3,1,1,0,3,7
9738,1986,Together,42386.0,1,0,65,4,16,0,4,1,3,0,3,8
7119,1982,Single,68627.0,0,0,395,15,263,60,54,1,2,3,6,1
3924,1965,Divorced,57912.0,0,1,801,0,80,0,0,5,8,3,12,5
5827,1958,Divorced,35246.0,1,1,36,0,12,2,2,4,3,1,3,5
5596,1956,Together,58821.0,0,1,513,14,154,19,0,1,9,2,9,6
10812,1978,Married,46377.0,1,0,37,0,46,4,3,1,2,1,3,4
1717,1988,Single,39747.0,1,0,80,15,93,20,13,3,5,1,4,8
9491,1984,Together,23976.0,1,0,14,1,21,2,3,3,3,1,3,7
9274,1961,Married,80950.0,0,0,525,147,112,219,147,1,6,7,9,2
6609,1966,Widow,27038.0,0,0,1,26,25,17,23,1,3,0,3,9
6963,1947,Single,77457.0,0,0,675,11,400,15,45,1,2,5,10,1
4440,1964,Married,64100.0,0,1,509,0,27,0,0,1,8,3,6,7
1379,1992,Together,42670.0,0,0,154,2,46,20,4,1,4,2,4,4
10032,1976,Divorced,12571.0,1,0,3,5,14,2,12,4,3,1,3,6
2826,1967,Married,22574.0,2,1,25,0,8,2,0,2,2,0,3,7
2437,1989,Married,,0,0,861,138,461,60,30,1,6,5,12,3
6320,1976,Single,70893.0,0,0,768,44,561,77,44,1,6,6,10,3
3050,1966,Married,54198.0,1,1,185,0,28,3,2,6,3,1,6,4
231,1956,Together,28839.0,1,1,24,0,7,0,0,2,2,0,3,5
2392,1972,Married,40321.0,1,1,44,4,21,6,0,2,3,0,3,7
9478,1985,Single,66503.0,1,0,91,64,128,65,3,2,4,3,6,3
113,1951,Married,30833.0,1,1,11,0,7,3,1,2,1,0,3,5
2863,1970,Single,,1,2,738,20,172,52,50,6,2,3,10,7
1802,1971,Married,64795.0,0,1,412,5,119,38,29,3,3,3,12,2
520,1974,Married,34421.0,1,0,3,3,7,6,2,1,1,0,2,7
8275,1965,Divorced,47025.0,1,1,16,0,3,0,0,1,1,0,2,7
9750,1961,Divorced,64325.0,0,1,731,60,353,78,12,5,10,3,5,7
2607,1953,Single,40464.0,0,1,424,17,118,7,23,6,8,2,8,8
7214,1957,Married,62187.0,0,0,792,0,275,45,45,1,4,8,5,3
5835,1976,Divorced,14849.0,1,0,21,2,28,3,2,3,2,0,4,8
3896,1984,Married,27255.0,1,0,22,1,11,0,1,1,1,0,3,7
10350,1950,Married,54432.0,2,1,33,0,5,0,0,1,1,0,3,4
7786,1986,Single,29999.0,1,0,68,7,59,10,5,4,3,1,4,8
2861,1983,Single,24072.0,1,0,9,1,6,3,0,1,1,0,2,8
663,1989,Single,33996.0,0,0,40,2,15,8,0,1,1,1,3,4
10675,1956,Married,66334.0,0,1,909,11,218,0,0,2,9,3,5,5
2521,1971,Married,35178.0,1,0,23,1,13,2,2,1,1,1,2,7
9592,1983,Together,22010.0,1,0,11,2,9,3,0,2,2,0,3,8
10151,1960,Divorced,62204.0,0,2,317,46,247,151,46,1,4,5,12,3
7381,1968,Divorced,75693.0,0,0,797,153,293,72,97,1,11,4,6,4
4099,1972,Married,30675.0,1,0,10,2,16,11,2,1,1,0,3,8
9560,1965,Together,83003.0,0,0,856,61,570,40,25,1,7,6,8,3
1150,1899,Together,83532.0,0,0,755,144,562,104,64,1,4,6,4,1
10172,1988,Single,68655.0,0,0,456,19,832,75,118,1,4,5,11,3
11191,1986,Divorced,41411.0,0,0,37,32,38,11,3,1,2,1,4,6
9707,1969,Married,55212.0,0,1,1103,0,45,0,0,3,4,2,11,8
6245,1950,Together,59292.0,0,1,378,14,68,19,14,2,3,5,8,3
8234,1973,Together,27190.0,1,0,1,6,7,0,1,1,1,0,2,8
1411,1952,Divorced,82623.0,0,0,204,34,204,172,153,1,2,9,4,1
8553,1965,Married,44300.0,1,1,30,0,9,0,0,2,1,0,3,6
1826,1970,Divorced,84835.0,0,0,189,104,379,111,189,1,4,4,6,1
8842,1971,Widow,30372.0,1,1,15,0,12,7,3,3,2,0,3,7
11030,1976,Married,33181.0,1,0,9,0,3,0,0,1,1,0,2,6
2579,1957,Married,71113.0,0,1,495,33,255,11,33,4,6,7,9,4
175,1986,Married,71952.0,1,0,656,80,455,52,107,2,8,4,8,4
9185,1966,Single,69759.0,0,0,452,20,514,13,30,3,4,6,5,3
11056,1974,Married,72099.0,0,0,546,91,410,119,0,1,3,4,10,1
9365,1976,Single,60000.0,0,1,1048,0,217,0,0,5,11,3,5,6
6201,1978,Single,38643.0,1,1,22,2,14,0,1,2,2,0,3,7
2061,1955,Married,50737.0,0,1,78,0,11,0,0,1,2,0,4,6
6184,1969,Married,68462.0,0,0,561,64,785,84,128,1,3,3,8,1
6142,1943,Married,65073.0,0,0,629,17,177,69,0,1,5,3,5,2
4107,1948,Together,46681.0,0,2,269,15,69,15,19,2,4,6,4,5
7274,1957,Married,78618.0,0,0,736,163,818,212,163,1,4,7,10,2
